apicall_954834405d762e3b854af89d3841eb2a,vyžádat nedostupný
appsavegiftmessage_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appsavegiftmessage_f3547ae5e06426d87312eff7dda775aa,Celková cena
appsavegiftmessage_824a96e60e7720c695e8c6f7abd856f4,Požaduje se minimální nákup celkem% 1s pro ověření objednávky, aktuální Celková je k% 2s
appsavegiftmessage_ec1f68c64fcaf8260cfacf58cd4d4af7,Využijte našich exkluzivních nabídek
appsetbillingaddress_3f324964e384daea4b317e5f179016df,Vozík id chybí
appsetbillingaddress_e61f52d02b9f52fbe1fd41ed320e29c3,Vozík nebyl nalezen
appsetbillingaddress_694e8d1f2ee056f98ee488bdc4982d73,Množství
appsetbillingaddress_63d5049791d9d79d86e9a108b0a999ca,Odkaz
appsetbillingaddress_287234a1ff35a314b5b6bc4e5828e745,Atributy
appsetbillingaddress_da7a26ae7679cdec15e19468cdc4c66d,Nákupní košík Informace byly úspěšně načteny
appsetbillingaddress_604279a9bb5369542695f2ad9e6185ca,Celková cena (bez daně).
appsetbillingaddress_ada0f55ef37f4928c5cd970f378c15e8,Celkem poukázky
appsetbillingaddress_7c166105b10b8a6a0c0f1c6540f5cd5e,Celková dárkové balení
appsetbillingaddress_f4e8b53a114e5a17d051ab84d326cae5,Celkové náklady na dopravu
appsetbillingaddress_c6995d6cc084c192bc2e742f052a5c74,Doprava zdarma!
appsetbillingaddress_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appsetbillingaddress_f3547ae5e06426d87312eff7dda775aa,Celková cena
appsetbillingaddress_f633584ed6ab75aa538bdf7c9269aac1,(Dodatečné náklady
appsetbillingaddress_bf804c0fa1807646b297f7be6843138f,Požaduje se minimální nákup celkem% 1s ověřit svou objednávku, současný nákup Celková je k% 2s
appsetbillingaddress_a00acc9b49d721d1e3006715a0ce7014,E-mailová adresa není platná
appsetbillingaddress_dcf951059ca444f87d296d3b192783e6,Zákazník s tímto e-mailem neexistuje
appsetbillingaddress_04f20f929ad93c8a94dbf706e05a9bd6,Nepodařilo se získat podrobnosti dodací adresu
appsetbillingaddress_700c53d8cec1b1e9cf6c247944126166,Při aktualizaci svůj vůz došlo k chybě.
appsetbillingaddress_0383858ad9a560ca2ecb8066c1681807,Volba Produkt nemůže být doručena dostupným nosičem (y): to je příliš těžké. Prosím, změnit svůj vozík snížit svou váhu.
appsetbillingaddress_942649e42a59a56bd717acc3fed307b8,Volba Produkt nemůže být doručena dostupným nosičem (nosiči). Prosím, změnit svůj vůz.
appsetbillingaddress_7c013b3defbf4cec9cd69f2e99a8d84c,Volba Produkt nemůže být doručena dostupným nosičem (y): jeho velikost se nehodí. Prosím, změnit svůj vozík snížit jeho velikost.
appsetbillingaddress_78c46e5c6e68799668e5b0af361e8e5d,Neexistují žádné nosiče, které dodávají na některé adresy, které jste vybrali.
appsetbillingaddress_3ce77aba56f064e8e177a01a7d88d415,Neexistují žádné nosiče, které dodávají na jednu adresu jste vybrali.
appsetbillingaddress_d049e05d0babc4c1643c4b36397be24d,Neexistují žádné nosiče, které dodávají na adresu, kterou jste vybrali.
appsetbillingaddress_51dfe3dfbcd0ea5974aba6663a660a2b,No Delivery Method Required
appsetbillingaddress_b24ce0cd392a5b0b8dedc66c25213594,Volný, uvolnit
appsetbillingaddress_6e15f72a51837e528df003792a367360,Ne Způsob doručení je k dispozici
appsetbillingaddress_e01c4498102e120635a233f6ece469da,Nelze získat údaje fakturační adresa
appsetshippingaddress_3f324964e384daea4b317e5f179016df,Vozík id chybí
appsetshippingaddress_e61f52d02b9f52fbe1fd41ed320e29c3,Vozík nebyl nalezen
appsetshippingaddress_694e8d1f2ee056f98ee488bdc4982d73,Množství
appsetshippingaddress_63d5049791d9d79d86e9a108b0a999ca,Odkaz
appsetshippingaddress_287234a1ff35a314b5b6bc4e5828e745,Atributy
appsetshippingaddress_da7a26ae7679cdec15e19468cdc4c66d,Nákupní košík Informace byly úspěšně načteny
appsetshippingaddress_604279a9bb5369542695f2ad9e6185ca,Celková cena (bez daně).
appsetshippingaddress_ada0f55ef37f4928c5cd970f378c15e8,Celkem poukázky
appsetshippingaddress_7c166105b10b8a6a0c0f1c6540f5cd5e,Celková dárkové balení
appsetshippingaddress_f4e8b53a114e5a17d051ab84d326cae5,Celkové náklady na dopravu
appsetshippingaddress_c6995d6cc084c192bc2e742f052a5c74,Doprava zdarma!
appsetshippingaddress_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appsetshippingaddress_f3547ae5e06426d87312eff7dda775aa,Celková cena
appsetshippingaddress_f633584ed6ab75aa538bdf7c9269aac1,(Dodatečné náklady
appsetshippingaddress_bf804c0fa1807646b297f7be6843138f,Požaduje se minimální nákup celkem% 1s ověřit svou objednávku, současný nákup Celková je k% 2s
appsetshippingaddress_a00acc9b49d721d1e3006715a0ce7014,E-mailová adresa není platná
appsetshippingaddress_dcf951059ca444f87d296d3b192783e6,Zákazník s tímto e-mailem neexistuje
appsetshippingaddress_04f20f929ad93c8a94dbf706e05a9bd6,Nepodařilo se získat podrobnosti dodací adresu
appsetshippingaddress_700c53d8cec1b1e9cf6c247944126166,Při aktualizaci svůj vůz došlo k chybě.
appsetshippingaddress_0383858ad9a560ca2ecb8066c1681807,Volba Produkt nemůže být doručena dostupným nosičem (y): to je příliš těžké. Prosím, změnit svůj vozík snížit svou váhu.
appsetshippingaddress_942649e42a59a56bd717acc3fed307b8,Volba Produkt nemůže být doručena dostupným nosičem (nosiči). Prosím, změnit svůj vůz.
appsetshippingaddress_7c013b3defbf4cec9cd69f2e99a8d84c,Volba Produkt nemůže být doručena dostupným nosičem (y): jeho velikost se nehodí. Prosím, změnit svůj vozík snížit jeho velikost.
appsetshippingaddress_78c46e5c6e68799668e5b0af361e8e5d,Neexistují žádné nosiče, které dodávají na některé adresy, které jste vybrali.
appsetshippingaddress_3ce77aba56f064e8e177a01a7d88d415,Neexistují žádné nosiče, které dodávají na jednu adresu jste vybrali.
appsetshippingaddress_d049e05d0babc4c1643c4b36397be24d,Neexistují žádné nosiče, které dodávají na adresu, kterou jste vybrali.
appsetshippingaddress_51dfe3dfbcd0ea5974aba6663a660a2b,No Delivery Method Required
appsetshippingaddress_b24ce0cd392a5b0b8dedc66c25213594,Volný, uvolnit
appsetshippingaddress_6e15f72a51837e528df003792a367360,Ne Způsob doručení je k dispozici
appsetshippingaddress_e01c4498102e120635a233f6ece469da,Nelze získat údaje fakturační adresa
appsetshippingmethod_3f324964e384daea4b317e5f179016df,Vozík id chybí
appsetshippingmethod_e61f52d02b9f52fbe1fd41ed320e29c3,Vozík nebyl nalezen
appsetshippingmethod_694e8d1f2ee056f98ee488bdc4982d73,Množství
appsetshippingmethod_63d5049791d9d79d86e9a108b0a999ca,Odkaz
appsetshippingmethod_287234a1ff35a314b5b6bc4e5828e745,Atributy
appsetshippingmethod_da7a26ae7679cdec15e19468cdc4c66d,Nákupní košík Informace byly úspěšně načteny
appsetshippingmethod_604279a9bb5369542695f2ad9e6185ca,Celková cena (bez daně).
appsetshippingmethod_ada0f55ef37f4928c5cd970f378c15e8,Celkem poukázky
appsetshippingmethod_7c166105b10b8a6a0c0f1c6540f5cd5e,Celková dárkové balení
appsetshippingmethod_f4e8b53a114e5a17d051ab84d326cae5,Celkové náklady na dopravu
appsetshippingmethod_c6995d6cc084c192bc2e742f052a5c74,Doprava zdarma!
appsetshippingmethod_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appsetshippingmethod_f3547ae5e06426d87312eff7dda775aa,Celková cena
appsetshippingmethod_f633584ed6ab75aa538bdf7c9269aac1,(Dodatečné náklady
appsetshippingmethod_bf804c0fa1807646b297f7be6843138f,Požaduje se minimální nákup celkem% 1s ověřit svou objednávku, současný nákup Celková je k% 2s
appsetshippingmethod_a00acc9b49d721d1e3006715a0ce7014,E-mailová adresa není platná
appsetshippingmethod_dcf951059ca444f87d296d3b192783e6,Zákazník s tímto e-mailem neexistuje
appsetshippingmethod_04f20f929ad93c8a94dbf706e05a9bd6,Nepodařilo se získat podrobnosti dodací adresu
appsetshippingmethod_700c53d8cec1b1e9cf6c247944126166,Při aktualizaci svůj vůz došlo k chybě.
appsetshippingmethod_0383858ad9a560ca2ecb8066c1681807,Volba Produkt nemůže být doručena dostupným nosičem (y): to je příliš těžké. Prosím, změnit svůj vozík snížit svou váhu.
appsetshippingmethod_942649e42a59a56bd717acc3fed307b8,Volba Produkt nemůže být doručena dostupným nosičem (nosiči). Prosím, změnit svůj vůz.
appsetshippingmethod_7c013b3defbf4cec9cd69f2e99a8d84c,Volba Produkt nemůže být doručena dostupným nosičem (y): jeho velikost se nehodí. Prosím, změnit svůj vozík snížit jeho velikost.
appsetshippingmethod_78c46e5c6e68799668e5b0af361e8e5d,Neexistují žádné nosiče, které dodávají na některé adresy, které jste vybrali.
appsetshippingmethod_3ce77aba56f064e8e177a01a7d88d415,Neexistují žádné nosiče, které dodávají na jednu adresu jste vybrali.
appsetshippingmethod_d049e05d0babc4c1643c4b36397be24d,Neexistují žádné nosiče, které dodávají na adresu, kterou jste vybrali.
appsetshippingmethod_51dfe3dfbcd0ea5974aba6663a660a2b,No Delivery Method Required
appsetshippingmethod_b24ce0cd392a5b0b8dedc66c25213594,Volný, uvolnit
appsetshippingmethod_6e15f72a51837e528df003792a367360,Ne Způsob doručení je k dispozici
appsetshippingmethod_e01c4498102e120635a233f6ece469da,Nelze získat údaje fakturační adresa
appsociallogin_bc9b4a91502bd9531dc9d7b544855a7a,Sociální údaje nejsou k dispozici.
appsociallogin_23449e6c6fb211fb8bf12eae126cf555,Přihlášení uživatel úspěšně
appupdateaddress_5058fb0856b024c6a3c18d8e0c764157,doručovací adresa byla úspěšně aktualizována.
appupdateaddress_432100411a1c9a89bf06133afe8b96ce,Při přidávání adresy došlo k chybě.
appupdateaddress_eeabead01c6c6f25f22bf0b041df58a9,Musíte se zaregistrovat alespoň jedno telefonní číslo.
appupdateaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,Tato země vyžaduje, abyste si vybral stát.
appupdateaddress_3dc3fe315fc270e7425b12e157e4619d,Tato země není aktivní.
appupdateaddress_78f66140209a4979028fb80f21be5a44,Zip / Postal code jste \ 'jsem zadali, je neplatný. Je třeba dodržovat tento formát:% s
appupdateaddress_50b668816d2acbdb62484bb5ea5d25ab,Je zapotřebí Zip / Postal code.
appupdateaddress_e6c1e151f2554afad6c0d551046650e8,Zip / Postal kód je neplatný.
appupdateaddress_7c77177e0084c27161d63e7de535a1c6,Identifikační číslo je nesprávné nebo již byl použit.
appupdateaddress_355169a606c66a6a39b8d23609f7329e,Alias% s již byl použit. Prosím, vyberte jiný.
appupdateaddress_a00acc9b49d721d1e3006715a0ce7014,E-mailová adresa není platná
appupdateaddress_dcf951059ca444f87d296d3b192783e6,Zákazník s tímto e-mailem neexistuje
appupdatecartquantity_e61f52d02b9f52fbe1fd41ed320e29c3,Vozík nebyl nalezen
appupdatecartquantity_694e8d1f2ee056f98ee488bdc4982d73,Množství
appupdatecartquantity_6665e3761028c84e1d228de3432229ed,SKU
appupdatecartquantity_287234a1ff35a314b5b6bc4e5828e745,Atributy
appupdatecartquantity_604279a9bb5369542695f2ad9e6185ca,Celková cena (bez daně).
appupdatecartquantity_ada0f55ef37f4928c5cd970f378c15e8,Celkem poukázky
appupdatecartquantity_7c166105b10b8a6a0c0f1c6540f5cd5e,Celková dárkové balení
appupdatecartquantity_f4e8b53a114e5a17d051ab84d326cae5,Celkové náklady na dopravu
appupdatecartquantity_c6995d6cc084c192bc2e742f052a5c74,Doprava zdarma!
appupdatecartquantity_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appupdatecartquantity_f3547ae5e06426d87312eff7dda775aa,Celková cena
appupdatecartquantity_ec1f68c64fcaf8260cfacf58cd4d4af7,Využijte našich exkluzivních nabídek
appupdatecartquantity_83af0c74c4cd7eef63a11d3ba7e48fda,Údaje o výrobku chybí.
appupdatecartquantity_1f4c1c7eb53c734122abd654be5f8164,Množství by měla být větší než nula.
appupdatecartquantity_dfbe69c6d9568ecb0e65e7b32ed92a3a,Produkt nenalezen
appupdatecartquantity_91e6cde963af2000218553722fc7a093,Tento produkt již není k dispozici.
appupdatecartquantity_4d2c41ad87059d5fd9ea5283cee720a5,Tam že ano \ 't dost produkt na skladě.
appupdatecartquantity_0d38c90d843c787c0be14f790998210c,Musíte přidat% d minimální množství
appupdatecartquantity_de10fc28511b894f704c1a67fcff7b4f,Již máte maximální množství dostupné pro tento produkt.
appupdatecartquantity_14d4a4be033fb0076188581e0ab67808,Produkt byl úspěšně aktualizován
appupdatecartquantity_ce395fa164eff74838bd51a583fb3b65,Žádná změna nalezen ve velkém množství.
appupdateprofile_7ffc7db3c8072a468937761b9fa9583c,Neplatný First Name.
appupdateprofile_5226b39ad81c6d482af27920b0d532ae,Neplatná Příjmení.
appupdateprofile_54084a1c09c68221979d134e9613ef84,Zadané heslo je nesprávné.
appupdateprofile_f02a41f3e448d379e3c06d39bd3cc4de,Heslo a potvrzení se neshodují.
appupdateprofile_626295ee4555407394df3e9998e1fc19,Neplatné heslo
appupdateprofile_c1e500b0e2c09aa39a86bb1a5ea129ca,Osobní údaje úspěšně aktualizovány.
appupdateprofile_4a26ddbc1e75f300f27d3ba1f36fcb63,Tyto informace nemohou být aktualizovány.
appupdateprofile_c56f8985cdec11f87c16beebf6a58b62,Osobní informace chybí.
appupdateprofile_b65db11517e70558e870ea4bc6dfbf0e,Je neexistuje zákazník s tímto e-mailem.
appupdateprofile_0e042db7a9a38d0d1c833dd4c141d77d,E-mailová adresa je chybí nebo je neplatný.
appgetaddressform_ae7bdef7fe2bbbbf02c11e92c5fceb40,Moje adresa
appgetcartdetails_362dec2f2247134cd9d3cefbcb1c9a6e,Dodatečné náklady
appgetfilters_9e2941b3c81256fac10392aaca4ccfde,Stav
appgetfilters_c0bd7654d5b278e65f21cf4e9153fdb4,Výrobce
appgetfilters_3601146c4e948c32b6424d2c0a7f0118,Cena
appgetorderdetails_694e8d1f2ee056f98ee488bdc4982d73,Množství
appgetorderdetails_6665e3761028c84e1d228de3432229ed,SKU
appgetorderdetails_9dffbf69ffba8bc38bc4e01abf4b1675,Text
appgetorderdetails_b0f79042ac83c64f3ccc42268c8ade26,Celkem produktů
appgetorderdetails_ada0f55ef37f4928c5cd970f378c15e8,Celkem poukázky
appgetorderdetails_7c166105b10b8a6a0c0f1c6540f5cd5e,Celková dárkové balení
appgetorderdetails_f4e8b53a114e5a17d051ab84d326cae5,Celkové náklady na dopravu
appgetorderdetails_f3547ae5e06426d87312eff7dda775aa,Celková cena
appgetsellerproducts_26380f3c8aeeb67ff17d9f961e09e045,Prodejce id chybí
appgetsellerproducts_a5d37da2d02dcb1893938c19016a3834,Prodávající nebyl nalezen
appgetsellerproducts_b1c94ca2fbc3e78fc30069c8d0f01680,Všechno
appgetsellerproducts_49ee3087348e8d44e1feda1917443987,název
appgetsellerproducts_3601146c4e948c32b6424d2c0a7f0118,Cena
appgetsellerproducts_0c43922c2fd0b2886820ce8d59d0a425,A-Z
appgetsellerproducts_b45a57134da0f07ba49d5b99713855fa,Z-A
appgetsellerproducts_6b26ffddeab191d3a45e641f47ff780c,Od nejnižšího k nejvyššímu
appgetsellerproducts_4bc0df4deaccf71b305d791e1e3b6f76,Od nejvyššího k nejnižšímu
appgetsellerreviews_26380f3c8aeeb67ff17d9f961e09e045,Prodejce id chybí
appgetsellerreviews_a5d37da2d02dcb1893938c19016a3834,Prodávající nebyl nalezen
appgetsellers_4c555a8b12ac7069095ae1dd3bf43c7e,Není uvedeno
appsavesellerreview_26380f3c8aeeb67ff17d9f961e09e045,Prodejce id chybí
appsavesellerreview_a5d37da2d02dcb1893938c19016a3834,Prodávající nebyl nalezen
appsavesellerreview_b494ce60923c04e8e4c91b0d47177d95,Nutné přihlášení
appsavesellerreview_ffb5972c963f37cdc76e79c8ab636e74,Není schopen předložit svůj názor. Název nebo poznámka chybí.
appsavesellerreview_ed24e2b88b32983fb74e58cbc7e02038,Nelze uložit recenzi jako možnost je zakázána admin
appsavesellerreview_dfcf16c470a033996c2d1b56340dc2d7,Vaše hodnocení bylo úspěšně odeslán a zobrazeny ostatním, po získání souhlasu ze skladu.
appsavesellerreview_63ef1b9280784b89d4476f66396fc5dd,Vaše hodnocení bylo úspěšně odeslán.
appsavesellerreview_b4d8c9132ae2d46618be30173e75b6ef,Právě teď, systém není schopen předložit svůj názor. Prosím zkuste to znovu později
contact-form_bbaff12800505b22a853e8b7f4eb6a22,Kontakt
contact-form_2273d1167a6212812d95dc8fadbae78e,Služby zákazníkům
contact-form_d754a9e8cb640da12849a040f3ca8176,Vaše odpověď
contact-form_02d4482d332e1aef3437cd61c9bcc624,Kontaktujte nás
contact-form_4ec1c39345fe8820d68463eea8803b0f,Vaše zpráva byla úspěšně odeslána do našeho týmu.
contact-form_7c9d4636fc5ed97bb78bc2aac486beab,Vaše zpráva již byla odeslána.
contact-form_b3e4d8d61f99bac80e6aa1774d73445b,poslat zprávu
contact-form_6c27c08f40e1b0d9901deb9ff5f722f7,heslář
contact-form_7bc873cba11f035df692c3549366c722,-- Vybrat --
contact-form_b357b524e740bc85b9790a0712d84a30,Emailová adresa
contact-form_5d4710f9a8250b13164a82c94d5b00d1,reference objednávka
contact-form_deb10517653c255364175796ace3553f,Produkt
contact-form_13d6078da2e6592822ede083931d6826,Přiložit soubor
contact-form_4c2a8fe7eaf24721cc7a9f0175115bd4,Zpráva
contact-form_94966d90747b97d1f0f206c98a8b1ac3,Poslat
contact-form_f787618e514c038851726224d7e4421e,Žádný soubor nevybrán
contact-form_e635032a5f71d809146d3872389f5b0c,Vyberte soubor
order-opc_a40cab5994f36d4c48103a22ca082e8f,Váš nákupní košík
order-opc_78fa1019f9a9759b45c76e186393756f,Vaše nová objednávka nebyla přijata.
order-opc_879f6b8877752685a966564d072f498f,Váš nákupní košík je prázdný.
order-opc_1f87346a16cf80c372065de3c54c86d9,(včetně daně)
order-opc_21034ae6d01a83e702839a72ba8a77b0,(DIČ.)
order-opc_ea295188b69aa5e04810abcc38b2b2be,byla vybrána
order-opc_9504d494016e17a6de7e7b51da637bc4,nebyl vybrán žádný dopravce
order-opc_238a062a6a2543fd85d6616a8506fbe8,Žádný dopravce je potřeba pro tuto objednávku
order-opc_2e75f367f058646a1ba2fd01ceb74423,Nemusíte přijmout podmínky služby pro tuto objednávku.
order-opc_d236af51d8eac54fe7c366af1f6b358c,Servisní podmínky byly přijaty
order-opc_25d8efaba32cb44a922a727f20eaa002,Servisní podmínky nebyly přijaty
order-opc_4ce81305b7edb043d0a7a5c75cab17d0,Tady je
order-opc_fe816ec4b30c11a39edfd8b0a4cfab49,Chyba (y)
order-opc_af0f5bdc5be121b9307687aeeae38c17,Doručovací adresa
order-opc_601d8c4b9f72fc1862013c19b677a499,Fakturační adresa
order-opc_449374f661344e843453c4e189ddeed8,Pozměnit mé adresy
order-opc_d87f73e8ff8d933ed2ba5ddf25040827,Instant pokladna
order-opc_ad52144224a9fb9e04b8b9ef22ce36f7,Začněte prosím výběrem adresy.
order-opc_b24ce0cd392a5b0b8dedc66c25213594,Volný, uvolnit
order-opc_da9d6ec2998a07c31ec9eb93c9f254ed,Vaše fakturační adresa
order-opc_8a8c9edb5531fa2f822295d1830d090f,Doručovaný
order-opc_06933067aafd48425d67bcb01bba5cb6,Aktualizace
app_text_category_products,Kategorie
app_text_demo_app_user_form,Vyplňte prosím podrobnosti!
app_text_full_name_demo_app_user,Tvé jméno*
app_text_email_demo_app_user,E-mailem*
app_text_store_url_demo_app_user,Your Store URL *
app_text_continue_demo_app_user_form,Pokračovat
app_text_invalid_url,Neplatná Store URL!
app_text_invalid_email,Neplatný e-mail!
app_text_search,Vyhledávání
app_text_shopping_bag,Nákupní taška
app_text_check_out,Překontrolovat
app_text_no_internet,Problém s internetem
app_text_product_image_viewer,Prohlížeč Product Image
app_text_payment_methods,platební metody
app_text_wishlist,Seznam přání
app_text_seller_comments,Prodejce Comment (s)
app_text_home,Domov
app_text_category,Kategorie
app_text_login,Přihlásit se
app_text_logout,Odhlásit se
app_text_login_signup,Přihlášení Registrace
app_text_account,Můj účet
app_text_contact,Kontaktujte nás
app_text_about,O nás
app_text_add_to_wishlist,Přidat do seznamu přání
app_text_add_to_cart,Přidat do košíku
app_text_off,vypnuto
app_text_all,Všechno
app_text_languages,Jazyk (y)
app_text_sort,druh
app_text_filter,Filtr
app_text_sort_order,Select Sort Order
app_text_price_asce,Cena: Od nejnižšího k nejvyššímu
app_text_price_desc,Cena: od nejvyšší k nejnižší
app_text_product,Produkt
app_text_select,Vybrat
app_text_instock,Na skladě
app_text_outstock,Vyprodáno
app_text_product_info,Informace o výrobku a péče
app_text_customization,Přizpůsobení produktu
app_text_accessories,Příslušenství
app_text_view_less,Zobrazit méně
app_text_view_more,Zobrazit více
app_text_provide_details,Uveďte podrobnosti
app_text_bag,Nákupní taška
app_text_apply_voucher,Naneste poukaz
app_text_entry_voucher_code,Zadejte kód voucheru
app_text_apply,Aplikovat
app_text_gift,Gift Wrap
app_text_entry_message,Vložte vaši zprávu
app_text_available_first,Poslat dostupné produkty jako první
app_text_continue_shopping,Pokračovat v nákupu
app_text_continue_checkout,Pokračovat k pokladně
app_text_update_quantity,aktualizace Množství
app_text_enter_quantity,zadejte množství
app_text_empty_cart,Vaše náklady na dopravu Košík je prázdný!
app_text_goto_home,Jít na domovskou stránku
app_text_review_your_order,Zkontrolujte svou objednávku
app_text_add_new_shipping_address,Přidat novou adresu
app_text_history,Podrobnosti o přepravě
app_text_summary,Přehled objednávky
app_text_shipping_methods,způsoby dopravy
app_text_comment,objednat Comment
app_text_payment_summary,platba Shrnutí
app_text_proceed,Přistoupit k platbě
app_text_make_payment,Zaplatit
app_text_congratulations,Gratulujeme
app_text_addresses,Adresa (y)
app_text_order_detail,objednat Detail
app_text_update_personal,Aktualizace Osobní údaje
app_text_update_password,aktualizace hesla
app_text_current_password,Aktuální heslo
app_text_new_password,nové heslo
app_text_confirm_password,Potvrďte heslo
app_text_cancel,zrušení
app_text_save,Uložit
app_text_order_ref,objednat reference
app_text_status,Postavení
app_text_placed,Umístěno na
app_text_reorder,Přeobjednat
app_text_order_details,podrobnosti k objednávce
app_text_status_history,stav History
app_text_shipping_address,doručovací adresa
app_text_order_summary,Přehled objednávky
app_text_shipping_method,Způsob dopravy
app_text_payment_method,Způsob platby
app_text_gift_wrapping,Balení dárků
app_text_no_shipping_address,No dodací adresa k dispozici!
app_text_no_order_details,Žádné podrobnosti objednávky k dispozici!
app_text_signup,Přihlásit se
app_text_continue_guest,Pokračovat jako host
app_text_email,E-mailem
app_text_password,Heslo
app_text_forgot_password,Zapomenuté heslo
app_text_login_social_account,Můžete se přihlásit se sociálním účtu.
app_text_login_with_google,Přihlášení se službou Google+
app_text_login_with_facebook,Přihlásit se pomocí Facebooku
app_text_signup_with_google,SignUp s Google+
app_text_signup_with_facebook,SignUp Facebook
app_text_msg_enter_valid_email,Zadejte prosím platný e-mail!
app_text_msg_enter_email,Prosím zadejte e-mail!
app_text_msg_enter_password,Prosím vložte heslo!
app_text_msg_password_characters_less_than_3,Prosím, zadejte heslo mající znaky více než nebo roven 3!
app_text_msg_first_name,Jméno
app_text_msg_last_name,Příjmení
app_text_msg_dob,Datum narození
app_text_msg_confirm_password,Potvrďte heslo
app_text_msg_personal_details,Osobní údaje
app_text_msg_pass_not_matched,Heslo a Potvrzení hesla nejsou uzavřeno!
app_text_sold_by,Prodáno:
app_text_write_review,Napsat recenzi
app_text_view_review,Pohled Review (s)
app_text_view_seller_products,Pohled Prodejce Produkt (y)
app_text_wait,Prosím, čekejte
app_text_loading,Načítání dat...
app_text_msg_went_wrong,Něco se pokazilo. Prosím zkuste to znovu.
app_text_msg_no_internet_found,Žádné připojení k internetu nalézt.
app_text_msg_no_internet_title,Ne Internet
app_text_msg_request,Požadavek nemůže být proces. To by mohlo být z důvodu pomalého připojení k internetu.
app_text_msg_order_placed_email,Vaše objednávka byla umístěna successfully.You obdrží e-mail o totéž.
app_text_msg_product_look,Můžete se podívat na produkt (y) ze strany své kategorii.
app_text_msg_search_product,Můžete hledat jakýkoliv výrobek v obchodě podle textu nebo hlasu!
app_text_msg_view_cart,Můžete si prohlédnout nákupní vozík s množstvím!
app_text_msg_logout,Jste úspěšně odhlásit!
app_text_msg_view_product,Si můžete prohlédnout produkt v režimu mřížky nebo seznamu!
app_text_msg_sort_product,Můžete řadit zboží podle jejich cenu!
app_text_msg_filter_product,Můžete filtrovat produkt (y) podle své potřeby!
app_text_text_next,další
app_text_text_okay,dobře
app_text_required,Povinný
app_text_msg_rating,Prosím vyberte Hodnocení
app_text_msg_add_cart,Můžete přidat tento produkt do nákupního košíku kliknutím na tlačítko \ ‚Přidat do košíku \‘!
app_text_msg_add_wishlist,Můžete přidat tento produkt do seznamu přání pouhým kliknutím na tlačítko \ ‚Přidat do oblíbených \‘!
app_text_msg_product_price,cena produktu byla aktualizována!
app_text_msg_product_not_available,Tento výrobek není k dispozici na objednávku!
app_text_msg_combination,Tato kombinace není pro tento produkt neexistuje. Vyberte prosím jinou kombinaci.
app_text_msg_product_no_stock,Tento produkt není k dispozici v požadovaném množství nebo není skladem!
app_text_msg_out_stock,Některé z výrobků v košíku nejsou k dispozici v požadovaném množství nebo není na skladě. Odstraňte takovýto produkt (y) z košíku!
app_text_msg_checkout_products,Můžete pokladny produkty v nákupním košíku pouhým kliknutím na tlačítko ‚Pokračovat k pokladně‘.
app_text_msg_apply_voucher,Můžete použít poukázku do nákupního košíku!
app_text_msg_update_quantity,Můžete aktualizovat množství produktu, nebo jej z košíku!
app_text_msg_view_details,Si můžete prohlédnout informace o produktu kliknutím na obrázek výrobku!
app_text_msg_success,Úspěch!
app_text_msg_failure,Selhání!
app_text_msg_enter_quantity,Zadejte prosím množství
app_text_quantity,Množství
app_text_remove,Odstranit
app_text_customization_details,Přizpůsobení Podrobnosti
app_text_msg_add_address,Můžete přidat novou dodací adresu kliknutím na tlačítko!
app_text_msg_update_address,Můžete aktualizovat dodací adresu!
app_text_msg_select_address,Můžete si vybrat libovolný dodací adresu pouhým kliknutím na něj!
app_text_select_address_text,* Vyberte dodací adresu, aby přezkoumaly své objednávky.
app_text_msg_no_product,Žádné produkty k dispozici!
app_text_msg_no_comment_available,Bez komentáře (y) k dispozici!
app_text_msg_reset_password,Můžete obnovit vaše heslo kliknutím `Zapomeňte Password`
app_text_msg_login,Můžete se přihlásit do obchodu odtud!
app_text_msg_login_fb,Můžete se také přihlásit do obchodu ze svého účtu na Facebooku!
app_text_msg_login_google,Můžete se také přihlásit do obchodu ze svého účtu Google!
app_text_msg_update_profile,Můžete aktualizovat své údaje profilu, lodní spojení nebo zobrazit podrobnosti o objednávce od tady!
app_text_product_info_and_care,Informace o výrobku a péče
app_text_download,Stažení
app_text_minimal_quantity,minimální množství
app_text_seller_details,Podrobnosti prodejce
app_text_pack_content,Pack Content
app_text_submit,Předložit
app_text_msg_forget_password,Zadejte e-mailovou adresu spojenou s vaším účtem. Klepněte na tlačítko odeslat, aby vaše heslo e-mailem na vás.
app_text_enter_your_email,Vložte svůj e-mail
app_text_reset_password,Obnovit heslo
app_text_view_selected_filter,Můžete si prohlédnout vybraný výsledek filtru kliknutím na tento obrázek!
app_text_clear_selected_filter,Můžete vymazat aplikovaný filtr kliknutím na tento obrázek!
app_text_no_filter,žádné filtry
app_text_phone_number_required,* Musíte se registrovat alespoň jedno telefonní číslo
app_text_refresh,Obnovit
app_text_internet_connection_failed,Připojení k internetu se nezdařilo!
app_text_internet_connection_problem,Tam by mohl být nějaký problém s připojením k internetu. Prosím zkontrolujte.
