apicall_954834405d762e3b854af89d3841eb2a,Fordern Sie nicht verfügbar
appreorder_ada0f55ef37f4928c5cd970f378c15e8,insgesamt Gutscheine
appreorder_7c166105b10b8a6a0c0f1c6540f5cd5e,Insgesamt Geschenkverpackung
appreorder_f4e8b53a114e5a17d051ab84d326cae5,insgesamt Versand
appreorder_c6995d6cc084c192bc2e742f052a5c74,Kostenloser Versand!
appreorder_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appreorder_f3547ae5e06426d87312eff7dda775aa,Gesamtpreis
appreorder_824a96e60e7720c695e8c6f7abd856f4,Eine Mindestabnahme insgesamt% 1s benötigt, um Ihre Bestellung, aktuelle Gesamt ist% 2s zu validieren
appreorder_ec1f68c64fcaf8260cfacf58cd4d4af7,Nutzen Sie unsere exklusiven Angebote
appsavegiftmessage_e61f52d02b9f52fbe1fd41ed320e29c3,Warenkorb nicht gefunden
appsavegiftmessage_15bddec15f9c9237c333ed66cf65baf6,Fehler beim Entfernen Gutschein
appsavegiftmessage_4af3f045da697ee7929661dd4dde0242,Geschenk-Nachricht gespeichert
appsavegiftmessage_694e8d1f2ee056f98ee488bdc4982d73,Menge
appsavegiftmessage_6665e3761028c84e1d228de3432229ed,SKU
appsavegiftmessage_287234a1ff35a314b5b6bc4e5828e745,Attribute
appsavegiftmessage_604279a9bb5369542695f2ad9e6185ca,Gesamtpreis (ohne MwSt.)
appsavegiftmessage_ada0f55ef37f4928c5cd970f378c15e8,insgesamt Gutscheine
appsavegiftmessage_7c166105b10b8a6a0c0f1c6540f5cd5e,Insgesamt Geschenkverpackung
appsavegiftmessage_f4e8b53a114e5a17d051ab84d326cae5,insgesamt Versand
appsavegiftmessage_c6995d6cc084c192bc2e742f052a5c74,Kostenloser Versand!
appsavegiftmessage_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appsavegiftmessage_f3547ae5e06426d87312eff7dda775aa,Gesamtpreis
appsavegiftmessage_824a96e60e7720c695e8c6f7abd856f4,Eine Mindestabnahme insgesamt% 1s benötigt, um Ihre Bestellung, aktuelle Gesamt ist% 2s zu validieren
appsavegiftmessage_ec1f68c64fcaf8260cfacf58cd4d4af7,Nutzen Sie unsere exklusiven Angebote
appsetbillingaddress_3f324964e384daea4b317e5f179016df,Wagen ID fehlt
appsetbillingaddress_e61f52d02b9f52fbe1fd41ed320e29c3,Warenkorb nicht gefunden
appsetbillingaddress_694e8d1f2ee056f98ee488bdc4982d73,Menge
appsetbillingaddress_63d5049791d9d79d86e9a108b0a999ca,Referenz
appsetbillingaddress_287234a1ff35a314b5b6bc4e5828e745,Attribute
appsetbillingaddress_da7a26ae7679cdec15e19468cdc4c66d,Warenkorb Informationen erfolgreich geladen
appsetbillingaddress_604279a9bb5369542695f2ad9e6185ca,Gesamtpreis (ohne MwSt.)
appsetbillingaddress_ada0f55ef37f4928c5cd970f378c15e8,insgesamt Gutscheine
appsetbillingaddress_7c166105b10b8a6a0c0f1c6540f5cd5e,Insgesamt Geschenkverpackung
appsetbillingaddress_f4e8b53a114e5a17d051ab84d326cae5,insgesamt Versand
appsetbillingaddress_c6995d6cc084c192bc2e742f052a5c74,Kostenloser Versand!
appsetbillingaddress_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appsetbillingaddress_f3547ae5e06426d87312eff7dda775aa,Gesamtpreis
appsetbillingaddress_f633584ed6ab75aa538bdf7c9269aac1,(Zusätzliche Kosten von
appsetbillingaddress_bf804c0fa1807646b297f7be6843138f,Eine Mindestabnahme insgesamt% 1s benötigt, um Ihre Bestellung, aktuelle Kauf insgesamt zu validieren ist% 2s
appsetbillingaddress_a00acc9b49d721d1e3006715a0ce7014,Email Adresse ist nicht gültig
appsetbillingaddress_dcf951059ca444f87d296d3b192783e6,Kunden mit dieser E-Mail nicht existieren
appsetbillingaddress_04f20f929ad93c8a94dbf706e05a9bd6,Unfähig Lieferadresse Details zu erhalten
appsetbillingaddress_700c53d8cec1b1e9cf6c247944126166,Ein Fehler ist aufgetreten, während die Wagen zu aktualisieren.
appsetbillingaddress_0383858ad9a560ca2ecb8066c1681807,Die Produktauswahl kann nicht von den zur Verfügung stehenden Träger (n) geliefert werden: es ist zu schwer. Bitte ändern Warenkorb ihr Gewicht zu senken.
appsetbillingaddress_942649e42a59a56bd717acc3fed307b8,Die Produktauswahl kann nicht von den zur Verfügung stehenden Träger (n) geliefert werden. Bitte ändern Sie Ihre Warenkorb gelegt.
appsetbillingaddress_7c013b3defbf4cec9cd69f2e99a8d84c,Die Produktauswahl kann nicht von den zur Verfügung stehenden Träger (n) geliefert werden: seine Größe nicht paßt. Bitte ändern Warenkorb seine Größe zu reduzieren.
appsetbillingaddress_78c46e5c6e68799668e5b0af361e8e5d,Es gibt keine Träger, die einige Adressen, die Sie ausgewählt liefern.
appsetbillingaddress_3ce77aba56f064e8e177a01a7d88d415,Es gibt keine Träger, die Sie ausgewählt, um eine Adresse zu liefern.
appsetbillingaddress_d049e05d0babc4c1643c4b36397be24d,Es gibt keine Träger, die an die angegebene Adresse ausgewählt liefern.
appsetbillingaddress_51dfe3dfbcd0ea5974aba6663a660a2b,Keine Lieferung Methode Erforderlich
appsetbillingaddress_b24ce0cd392a5b0b8dedc66c25213594,Kostenlos
appsetbillingaddress_6e15f72a51837e528df003792a367360,Keine Lieferung Methode verfügbar
appsetbillingaddress_e01c4498102e120635a233f6ece469da,Nicht imstande, Rechnungsadresse Details zu erhalten
appsetshippingaddress_3f324964e384daea4b317e5f179016df,Wagen ID fehlt
appsetshippingaddress_e61f52d02b9f52fbe1fd41ed320e29c3,Warenkorb nicht gefunden
appsetshippingaddress_694e8d1f2ee056f98ee488bdc4982d73,Menge
appsetshippingaddress_63d5049791d9d79d86e9a108b0a999ca,Referenz
appsetshippingaddress_287234a1ff35a314b5b6bc4e5828e745,Attribute
appsetshippingaddress_da7a26ae7679cdec15e19468cdc4c66d,Warenkorb Informationen erfolgreich geladen
appsetshippingaddress_604279a9bb5369542695f2ad9e6185ca,Gesamtpreis (ohne MwSt.)
appsetshippingaddress_ada0f55ef37f4928c5cd970f378c15e8,insgesamt Gutscheine
appsetshippingaddress_7c166105b10b8a6a0c0f1c6540f5cd5e,Insgesamt Geschenkverpackung
appsetshippingaddress_f4e8b53a114e5a17d051ab84d326cae5,insgesamt Versand
appsetshippingaddress_c6995d6cc084c192bc2e742f052a5c74,Kostenloser Versand!
appsetshippingaddress_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appsetshippingaddress_f3547ae5e06426d87312eff7dda775aa,Gesamtpreis
appsetshippingaddress_f633584ed6ab75aa538bdf7c9269aac1,(Zusätzliche Kosten von
appsetshippingaddress_bf804c0fa1807646b297f7be6843138f,Eine Mindestabnahme insgesamt% 1s benötigt, um Ihre Bestellung, aktuelle Kauf insgesamt zu validieren ist% 2s
appsetshippingaddress_a00acc9b49d721d1e3006715a0ce7014,Email Adresse ist nicht gültig
appsetshippingaddress_dcf951059ca444f87d296d3b192783e6,Kunden mit dieser E-Mail nicht existieren
appsetshippingaddress_04f20f929ad93c8a94dbf706e05a9bd6,Unfähig Lieferadresse Details zu erhalten
appsetshippingaddress_700c53d8cec1b1e9cf6c247944126166,Ein Fehler ist aufgetreten, während die Wagen zu aktualisieren.
appsetshippingaddress_0383858ad9a560ca2ecb8066c1681807,Die Produktauswahl kann nicht von den zur Verfügung stehenden Träger (n) geliefert werden: es ist zu schwer. Bitte ändern Warenkorb ihr Gewicht zu senken.
appsetshippingaddress_942649e42a59a56bd717acc3fed307b8,Die Produktauswahl kann nicht von den zur Verfügung stehenden Träger (n) geliefert werden. Bitte ändern Sie Ihre Warenkorb gelegt.
appsetshippingaddress_7c013b3defbf4cec9cd69f2e99a8d84c,Die Produktauswahl kann nicht von den zur Verfügung stehenden Träger (n) geliefert werden: seine Größe nicht paßt. Bitte ändern Warenkorb seine Größe zu reduzieren.
appsetshippingaddress_78c46e5c6e68799668e5b0af361e8e5d,Es gibt keine Träger, die einige Adressen, die Sie ausgewählt liefern.
appsetshippingaddress_3ce77aba56f064e8e177a01a7d88d415,Es gibt keine Träger, die Sie ausgewählt, um eine Adresse zu liefern.
appsetshippingaddress_d049e05d0babc4c1643c4b36397be24d,Es gibt keine Träger, die an die angegebene Adresse ausgewählt liefern.
appsetshippingaddress_51dfe3dfbcd0ea5974aba6663a660a2b,Keine Lieferung Methode Erforderlich
appsetshippingaddress_b24ce0cd392a5b0b8dedc66c25213594,Kostenlos
appsetshippingaddress_6e15f72a51837e528df003792a367360,Keine Lieferung Methode verfügbar
appsetshippingaddress_e01c4498102e120635a233f6ece469da,Nicht imstande, Rechnungsadresse Details zu erhalten
appsetshippingmethod_3f324964e384daea4b317e5f179016df,Wagen ID fehlt
appsetshippingmethod_e61f52d02b9f52fbe1fd41ed320e29c3,Warenkorb nicht gefunden
appsetshippingmethod_694e8d1f2ee056f98ee488bdc4982d73,Menge
appsetshippingmethod_63d5049791d9d79d86e9a108b0a999ca,Referenz
appsetshippingmethod_287234a1ff35a314b5b6bc4e5828e745,Attribute
appsetshippingmethod_da7a26ae7679cdec15e19468cdc4c66d,Warenkorb Informationen erfolgreich geladen
appsetshippingmethod_604279a9bb5369542695f2ad9e6185ca,Gesamtpreis (ohne MwSt.)
appsetshippingmethod_ada0f55ef37f4928c5cd970f378c15e8,insgesamt Gutscheine
appsetshippingmethod_7c166105b10b8a6a0c0f1c6540f5cd5e,Insgesamt Geschenkverpackung
appsetshippingmethod_f4e8b53a114e5a17d051ab84d326cae5,insgesamt Versand
appsetshippingmethod_c6995d6cc084c192bc2e742f052a5c74,Kostenloser Versand!
appsetshippingmethod_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appsetshippingmethod_f3547ae5e06426d87312eff7dda775aa,Gesamtpreis
appsetshippingmethod_f633584ed6ab75aa538bdf7c9269aac1,(Zusätzliche Kosten von
appsetshippingmethod_bf804c0fa1807646b297f7be6843138f,Eine Mindestabnahme insgesamt% 1s benötigt, um Ihre Bestellung, aktuelle Kauf insgesamt zu validieren ist% 2s
appsetshippingmethod_a00acc9b49d721d1e3006715a0ce7014,Email Adresse ist nicht gültig
appsetshippingmethod_dcf951059ca444f87d296d3b192783e6,Kunden mit dieser E-Mail nicht existieren
appsetshippingmethod_04f20f929ad93c8a94dbf706e05a9bd6,Unfähig Lieferadresse Details zu erhalten
appsetshippingmethod_700c53d8cec1b1e9cf6c247944126166,Ein Fehler ist aufgetreten, während die Wagen zu aktualisieren.
appsetshippingmethod_0383858ad9a560ca2ecb8066c1681807,Die Produktauswahl kann nicht von den zur Verfügung stehenden Träger (n) geliefert werden: es ist zu schwer. Bitte ändern Warenkorb ihr Gewicht zu senken.
appsetshippingmethod_942649e42a59a56bd717acc3fed307b8,Die Produktauswahl kann nicht von den zur Verfügung stehenden Träger (n) geliefert werden. Bitte ändern Sie Ihre Warenkorb gelegt.
appsetshippingmethod_7c013b3defbf4cec9cd69f2e99a8d84c,Die Produktauswahl kann nicht von den zur Verfügung stehenden Träger (n) geliefert werden: seine Größe nicht paßt. Bitte ändern Warenkorb seine Größe zu reduzieren.
appsetshippingmethod_78c46e5c6e68799668e5b0af361e8e5d,Es gibt keine Träger, die einige Adressen, die Sie ausgewählt liefern.
appsetshippingmethod_3ce77aba56f064e8e177a01a7d88d415,Es gibt keine Träger, die Sie ausgewählt, um eine Adresse zu liefern.
appsetshippingmethod_d049e05d0babc4c1643c4b36397be24d,Es gibt keine Träger, die an die angegebene Adresse ausgewählt liefern.
appsetshippingmethod_51dfe3dfbcd0ea5974aba6663a660a2b,Keine Lieferung Methode Erforderlich
appsetshippingmethod_b24ce0cd392a5b0b8dedc66c25213594,Kostenlos
appsetshippingmethod_6e15f72a51837e528df003792a367360,Keine Lieferung Methode verfügbar
appsetshippingmethod_e01c4498102e120635a233f6ece469da,Nicht imstande, Rechnungsadresse Details zu erhalten
appsociallogin_bc9b4a91502bd9531dc9d7b544855a7a,Sozialdaten sind nicht verfügbar.
appsociallogin_23449e6c6fb211fb8bf12eae126cf555,Benutzeranmeldung erfolgreich
appupdateaddress_5058fb0856b024c6a3c18d8e0c764157,Lieferadresse wurde erfolgreich aktualisiert.
appupdateaddress_432100411a1c9a89bf06133afe8b96ce,Ein Fehler ist aufgetreten, während die Adresse hinzufügen.
appupdateaddress_eeabead01c6c6f25f22bf0b041df58a9,Sie müssen mindestens eine Telefonnummer registrieren.
appupdateaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,Dieses Land erfordert, dass Sie einen Staat zu wählen.
appupdateaddress_3dc3fe315fc270e7425b12e157e4619d,Dieses Land ist nicht aktiv.
appupdateaddress_78f66140209a4979028fb80f21be5a44,Die Zip / Postleitzahl Sie \ 'eingegeben hat, ist ungültig. Es muss in diesem Format folgen:% s
appupdateaddress_50b668816d2acbdb62484bb5ea5d25ab,Ein Zip / Postleitzahl ist erforderlich.
appupdateaddress_e6c1e151f2554afad6c0d551046650e8,Die Zip / Postleitzahl ist ungültig.
appupdateaddress_7c77177e0084c27161d63e7de535a1c6,Die Identifikationsnummer ist falsch oder wird bereits verwendet.
appupdateaddress_355169a606c66a6a39b8d23609f7329e,Die Alias% s wird bereits verwendet. Bitte wählen Sie eine andere.
appupdateaddress_a00acc9b49d721d1e3006715a0ce7014,Email Adresse ist nicht gültig
appupdateaddress_dcf951059ca444f87d296d3b192783e6,Kunden mit dieser E-Mail nicht existieren
appupdatecartquantity_e61f52d02b9f52fbe1fd41ed320e29c3,Warenkorb nicht gefunden
appupdatecartquantity_694e8d1f2ee056f98ee488bdc4982d73,Menge
appupdatecartquantity_6665e3761028c84e1d228de3432229ed,SKU
appupdatecartquantity_287234a1ff35a314b5b6bc4e5828e745,Attribute
appupdatecartquantity_604279a9bb5369542695f2ad9e6185ca,Gesamtpreis (ohne MwSt.)
appupdatecartquantity_ada0f55ef37f4928c5cd970f378c15e8,insgesamt Gutscheine
appupdatecartquantity_7c166105b10b8a6a0c0f1c6540f5cd5e,Insgesamt Geschenkverpackung
appupdatecartquantity_f4e8b53a114e5a17d051ab84d326cae5,insgesamt Versand
appupdatecartquantity_c6995d6cc084c192bc2e742f052a5c74,Kostenloser Versand!
appupdatecartquantity_b602e0d0c6a72053d0a5be60cb2f8126,Total Tax
appupdatecartquantity_f3547ae5e06426d87312eff7dda775aa,Gesamtpreis
appupdatecartquantity_ec1f68c64fcaf8260cfacf58cd4d4af7,Nutzen Sie unsere exklusiven Angebote
appupdatecartquantity_83af0c74c4cd7eef63a11d3ba7e48fda,Produktdaten fehlen.
appupdatecartquantity_1f4c1c7eb53c734122abd654be5f8164,Menge sollte größer als Null sein.
appupdatecartquantity_dfbe69c6d9568ecb0e65e7b32ed92a3a,Produkt nicht gefunden
appupdatecartquantity_91e6cde963af2000218553722fc7a093,Dieses Produkt ist nicht länger verfügbar.
appupdatecartquantity_4d2c41ad87059d5fd9ea5283cee720a5,Es isn auf Lager t genug Produkt '\.
appupdatecartquantity_0d38c90d843c787c0be14f790998210c,Sie müssen% d mindestens hinzufügen
appupdatecartquantity_de10fc28511b894f704c1a67fcff7b4f,Sie haben bereits die Höchstmenge für dieses Produkt.
appupdatecartquantity_14d4a4be033fb0076188581e0ab67808,Produkt erfolgreich aktualisiert
appupdatecartquantity_ce395fa164eff74838bd51a583fb3b65,Keine Änderung in der Menge gefunden.
appupdateprofile_7ffc7db3c8072a468937761b9fa9583c,Ungültiger Vorname.
appupdateprofile_5226b39ad81c6d482af27920b0d532ae,Ungültige Nachname.
appupdateprofile_54084a1c09c68221979d134e9613ef84,Das eingegebene Passwort ist falsch.
appupdateprofile_f02a41f3e448d379e3c06d39bd3cc4de,Das Passwort und Bestätigung stimmen nicht überein.
appupdateprofile_626295ee4555407394df3e9998e1fc19,Ungültiges Passwort
appupdateprofile_c1e500b0e2c09aa39a86bb1a5ea129ca,Persönliche Informationen erfolgreich aktualisiert.
appupdateprofile_4a26ddbc1e75f300f27d3ba1f36fcb63,Die Informationen können nicht aktualisiert werden.
appupdateprofile_c56f8985cdec11f87c16beebf6a58b62,Persönliche Informationen fehlen.
appupdateprofile_b65db11517e70558e870ea4bc6dfbf0e,Kunden mit dieser E-Mail ist nicht vorhanden.
appupdateprofile_0e042db7a9a38d0d1c833dd4c141d77d,E-Mail-Adresse fehlt oder ist ungültig.
appgetaddressform_ae7bdef7fe2bbbbf02c11e92c5fceb40,Meine Adresse
appgetcartdetails_362dec2f2247134cd9d3cefbcb1c9a6e,Zusätzliche Kosten von
appgetfilters_9e2941b3c81256fac10392aaca4ccfde,Bedingung
appgetfilters_c0bd7654d5b278e65f21cf4e9153fdb4,Hersteller
appgetfilters_3601146c4e948c32b6424d2c0a7f0118,Preis
appgetorderdetails_694e8d1f2ee056f98ee488bdc4982d73,Menge
appgetorderdetails_6665e3761028c84e1d228de3432229ed,SKU
appgetorderdetails_9dffbf69ffba8bc38bc4e01abf4b1675,Text
appgetorderdetails_b0f79042ac83c64f3ccc42268c8ade26,insgesamt Produkte
appgetorderdetails_ada0f55ef37f4928c5cd970f378c15e8,insgesamt Gutscheine
appgetorderdetails_7c166105b10b8a6a0c0f1c6540f5cd5e,Insgesamt Geschenkverpackung
appgetorderdetails_f4e8b53a114e5a17d051ab84d326cae5,insgesamt Versand
appgetorderdetails_f3547ae5e06426d87312eff7dda775aa,Gesamtpreis
appgetsellerproducts_26380f3c8aeeb67ff17d9f961e09e045,Verkäufer-ID fehlt
appgetsellerproducts_a5d37da2d02dcb1893938c19016a3834,Verkäufer nicht gefunden
appgetsellerproducts_b1c94ca2fbc3e78fc30069c8d0f01680,Alles
appgetsellerproducts_49ee3087348e8d44e1feda1917443987,Name
appgetsellerproducts_3601146c4e948c32b6424d2c0a7f0118,Preis
appgetsellerproducts_0c43922c2fd0b2886820ce8d59d0a425,A-Z
appgetsellerproducts_b45a57134da0f07ba49d5b99713855fa,Z-A
appgetsellerproducts_6b26ffddeab191d3a45e641f47ff780c,Aufsteigend
appgetsellerproducts_4bc0df4deaccf71b305d791e1e3b6f76,Absteigend
appgetsellerreviews_26380f3c8aeeb67ff17d9f961e09e045,Verkäufer-ID fehlt
appgetsellerreviews_a5d37da2d02dcb1893938c19016a3834,Verkäufer nicht gefunden
appgetsellers_4c555a8b12ac7069095ae1dd3bf43c7e,Nicht erwähnt
appsavesellerreview_26380f3c8aeeb67ff17d9f961e09e045,Verkäufer-ID fehlt
appsavesellerreview_a5d37da2d02dcb1893938c19016a3834,Verkäufer nicht gefunden
appsavesellerreview_b494ce60923c04e8e4c91b0d47177d95,Anmeldung erforderlich
appsavesellerreview_ffb5972c963f37cdc76e79c8ab636e74,Nicht in der Lage Ihre Bewertung senden. Titel oder Kommentar fehlt.
appsavesellerreview_ed24e2b88b32983fb74e58cbc7e02038,Kann nicht die Überprüfung speichern, wie die Option von admin deaktiviert
appsavesellerreview_dfcf16c470a033996c2d1b56340dc2d7,Ihre Bewertung wurde nach dem Aufstehen Genehmigung von Geschäft zu anderen erfolgreich und gezeigt vorgelegt.
appsavesellerreview_63ef1b9280784b89d4476f66396fc5dd,Ihre Bewertung wurde erfolgreich abgegeben.
appsavesellerreview_b4d8c9132ae2d46618be30173e75b6ef,Gerade jetzt, System nicht in der Lage Ihre Bewertung senden. Bitte versuchen Sie es später noch einmal
contact-form_bbaff12800505b22a853e8b7f4eb6a22,Kontakt
contact-form_2273d1167a6212812d95dc8fadbae78e,Kundendienst
contact-form_d754a9e8cb640da12849a040f3ca8176,Deine Antwort
contact-form_02d4482d332e1aef3437cd61c9bcc624,Kontaktiere uns
contact-form_4ec1c39345fe8820d68463eea8803b0f,Ihre Nachricht wurde an unserem Team erfolgreich gesendet.
contact-form_7c9d4636fc5ed97bb78bc2aac486beab,Ihre Nachricht bereits gesendet wurde.
contact-form_b3e4d8d61f99bac80e6aa1774d73445b,eine Nachricht schicken
contact-form_6c27c08f40e1b0d9901deb9ff5f722f7,Schlagwort
contact-form_7bc873cba11f035df692c3549366c722,-- Wählen --
contact-form_b357b524e740bc85b9790a0712d84a30,E-Mail-Addresse
contact-form_5d4710f9a8250b13164a82c94d5b00d1,Bestellnummer
contact-form_deb10517653c255364175796ace3553f,Produkt
contact-form_13d6078da2e6592822ede083931d6826,Datei anhängen
contact-form_4c2a8fe7eaf24721cc7a9f0175115bd4,Botschaft
contact-form_94966d90747b97d1f0f206c98a8b1ac3,Senden
contact-form_f787618e514c038851726224d7e4421e,Keine Datei ausgewählt
contact-form_e635032a5f71d809146d3872389f5b0c,Datei wählen
order-opc_a40cab5994f36d4c48103a22ca082e8f,Ihr Warenkorb
order-opc_78fa1019f9a9759b45c76e186393756f,Ihr neuer Auftrag wurde nicht akzeptiert.
order-opc_879f6b8877752685a966564d072f498f,Dein Einkaufswagen ist leer.
order-opc_1f87346a16cf80c372065de3c54c86d9,(Steuer inkl.)
order-opc_21034ae6d01a83e702839a72ba8a77b0,(Ohne MwSt.)
order-opc_ea295188b69aa5e04810abcc38b2b2be,wurde ausgewählt
order-opc_9504d494016e17a6de7e7b51da637bc4,Kein Träger ausgewählt wurde
order-opc_238a062a6a2543fd85d6616a8506fbe8,Kein Träger dieser Bestellung benötigt
order-opc_2e75f367f058646a1ba2fd01ceb74423,Sie brauchen nicht die Nutzungsbedingungen für diesen Auftrag zu übernehmen.
order-opc_d236af51d8eac54fe7c366af1f6b358c,Die Service-Bedingungen akzeptiert wurden
order-opc_25d8efaba32cb44a922a727f20eaa002,Die Service-Bedingungen nicht akzeptiert
order-opc_4ce81305b7edb043d0a7a5c75cab17d0,Es gibt
order-opc_fe816ec4b30c11a39edfd8b0a4cfab49,Error (s)
order-opc_af0f5bdc5be121b9307687aeeae38c17,Lieferadresse
order-opc_601d8c4b9f72fc1862013c19b677a499,Rechnungsanschrift
order-opc_449374f661344e843453c4e189ddeed8,Ändern Sie meine Adresse
order-opc_d87f73e8ff8d933ed2ba5ddf25040827,Sofortiges Checkout
order-opc_ad52144224a9fb9e04b8b9ef22ce36f7,Um zu beginnen, wählen Sie bitte eine Adresse aus.
order-opc_b24ce0cd392a5b0b8dedc66c25213594,Kostenlos
order-opc_da9d6ec2998a07c31ec9eb93c9f254ed,Ihre Rechnungsadresse
order-opc_8a8c9edb5531fa2f822295d1830d090f,Ihre Lieferadresse
order-opc_06933067aafd48425d67bcb01bba5cb6,Aktualisieren
app_text_category_products,Kategorie
app_text_demo_app_user_form,Bitte füllen Sie die Details!
app_text_full_name_demo_app_user,Dein Name*
app_text_email_demo_app_user,Email*
app_text_store_url_demo_app_user,Ihre Shop-URL *
app_text_continue_demo_app_user_form,Fortsetzen
app_text_invalid_url,Ungültige Store-URL!
app_text_invalid_email,Ungültige E-Mail!
app_text_search,Suche
app_text_shopping_bag,Einkaufstasche
app_text_check_out,Auschecken
app_text_no_internet,Internet-Problem
app_text_product_image_viewer,Produkt Image Viewer
app_text_payment_methods,Zahlungsarten
app_text_wishlist,Wunschzettel
app_text_seller_comments,Verkäufer Kommentar (e)
app_text_home,Zuhause
app_text_category,Kategorien
app_text_login,Anmeldung
app_text_logout,Ausloggen
app_text_login_signup,Einloggen Anmelden
app_text_account,Mein Konto
app_text_contact,Kontaktiere uns
app_text_about,Über uns
app_text_add_to_wishlist,Zur Wunschliste hinzufügen
app_text_add_to_cart,in den Warenkorb legen
app_text_off,aus
app_text_all,Alles
app_text_languages,Sprachen)
app_text_sort,Sortieren
app_text_filter,Filter
app_text_sort_order,Wählen Sie Sortierung
app_text_price_asce,Preis niedrig bis hoch
app_text_price_desc,Preis: absteigend
app_text_product,Produkt
app_text_select,Wählen
app_text_instock,Auf Lager
app_text_outstock,Ausverkauft
app_text_product_info,Produkt-Info und Pflege
app_text_customization,Produktanpassung
app_text_accessories,Zubehör
app_text_view_less,Weniger anzeigen
app_text_view_more,Mehr sehen
app_text_provide_details,Bitte machen Sie Angaben
app_text_bag,Einkaufstasche
app_text_apply_voucher,Bewerben Gutschein
app_text_entry_voucher_code,Gutscheincode eingeben
app_text_apply,Sich bewerben
app_text_gift,Geschenkpapier
app_text_entry_message,Gib deine Nachricht ein
app_text_available_first,Verfügbare Produkte zuerst schicken
app_text_continue_shopping,Mit dem Einkaufen fortfahren
app_text_continue_checkout,Weiter zur Kasse
app_text_update_quantity,Update Menge
app_text_enter_quantity,Geben Sie die Menge
app_text_empty_cart,Ihr Einkaufkorb ist leer!
app_text_goto_home,Zurück zur Homepage
app_text_review_your_order,Überprüfen Sie ihre Bestellung
app_text_add_new_shipping_address,Neue Adresse hinzufügen
app_text_history,Versanddetails
app_text_summary,Bestellübersicht
app_text_shipping_methods,Versandarten
app_text_comment,bestellen Kommentar
app_text_payment_summary,Zahlungsübersicht
app_text_proceed,Weiter zur Zahlung
app_text_make_payment,Zahlung ausführen
app_text_congratulations,Herzliche Glückwünsche
app_text_addresses,Adresse (n)
app_text_order_detail,Bestelldetails
app_text_update_personal,Update Persönliche Details
app_text_update_password,Passwort erneuern
app_text_current_password,derzeitiges Passwort
app_text_new_password,Neues Kennwort
app_text_confirm_password,Passwort bestätigen
app_text_cancel,Stornieren
app_text_save,sparen
app_text_order_ref,Bestellnummer
app_text_status,Status
app_text_placed,Platziert auf
app_text_reorder,Nachbestellung
app_text_order_details,Bestelldetails
app_text_status_history,Statushistorie
app_text_shipping_address,Lieferanschrift
app_text_order_summary,Bestellübersicht
app_text_shipping_method,Versandart
app_text_payment_method,Zahlungsmethode
app_text_gift_wrapping,Geschenkverpackung
app_text_no_shipping_address,Keine Lieferadresse zur Verfügung!
app_text_no_order_details,Keine Auftragsdaten vorhanden!
app_text_signup,Anmelden
app_text_continue_guest,Als Gast fortfahren
app_text_email,Email
app_text_password,Passwort
app_text_forgot_password,Passwort vergessen
app_text_login_social_account,Sie können mit sozialem Konto anmelden.
app_text_login_with_google,Einloggen mit Google+
app_text_login_with_facebook,Mit Facebook einloggen
app_text_signup_with_google,Jetzt Anmelden mit Google+
app_text_signup_with_facebook,Anmelden mit Facebook
app_text_msg_enter_valid_email,Bitte eine gültige E-Mail-Adresse eintragen!
app_text_msg_enter_email,Bitte geben Sie E-Mail!
app_text_msg_enter_password,Bitte Passwort eingeben!
app_text_msg_password_characters_less_than_3,Bitte geben Sie das Kennwort Zeichen mehr, dass oder gleich 3!
app_text_msg_first_name,Vorname
app_text_msg_last_name,Nachname
app_text_msg_dob,Geburtsdatum
app_text_msg_confirm_password,Passwort bestätigen
app_text_msg_personal_details,Persönliche Details
app_text_msg_pass_not_matched,Passwort und Passwort bestätigen nicht abgestimmt!
app_text_sold_by,Verkauft durch:
app_text_write_review,Eine Beurteilung schreiben
app_text_view_review,Ansicht Bewertung (en)
app_text_view_seller_products,Verkäufer Produkt (e)
app_text_wait,Warten Sie mal
app_text_loading,Lade Daten...
app_text_msg_went_wrong,Etwas ist schief gelaufen. Bitte versuche es erneut.
app_text_msg_no_internet_found,Keine Internetverbindung gefunden.
app_text_msg_no_internet_title,Kein Internet
app_text_msg_request,Anforderung kann nicht Prozess sein. Dies könnte aufgrund der langsamen Internetverbindung.
app_text_msg_order_placed_email,Ihre Bestellung wurde platziert successfully.You eine E-Mail in Bezug auf die gleiche erhalten.
app_text_msg_product_look,Sie können nach ihrer Kategorie für Produkt (e) suchen.
app_text_msg_search_product,Sie können jedes Produkt im Laden von Text- oder Sprach suchen!
app_text_msg_view_cart,Sie können Warenkorb mit Quantität an!
app_text_msg_logout,Sie sind erfolgreich abmelden!
app_text_msg_view_product,Sie können Produkt in Listen- oder Rastermodus an!
app_text_msg_sort_product,Sie können Produkt ihren Preis sortieren!
app_text_msg_filter_product,Sie können Produkt (e) nach Ihrem Bedarf filtern!
app_text_text_next,Nächster
app_text_text_okay,okay
app_text_required,Erforderlich
