apicall_954834405d762e3b854af89d3841eb2a,Искане за недостъпна
appsavegiftmessage_ec1f68c64fcaf8260cfacf58cd4d4af7,Възползвайте се от нашите ексклузивни оферти
appsetbillingaddress_3f324964e384daea4b317e5f179016df,Идентификационният номер на кошницата липсва
appsetbillingaddress_e61f52d02b9f52fbe1fd41ed320e29c3,Cart не е намерен
appsetbillingaddress_694e8d1f2ee056f98ee488bdc4982d73,количество
appsetbillingaddress_63d5049791d9d79d86e9a108b0a999ca,препратка
appsetbillingaddress_287234a1ff35a314b5b6bc4e5828e745,Атрибути
appsetbillingaddress_da7a26ae7679cdec15e19468cdc4c66d,информация Кошница зареден успешно
appsetbillingaddress_604279a9bb5369542695f2ad9e6185ca,Обща цена (данък. Без)
appsetbillingaddress_ada0f55ef37f4928c5cd970f378c15e8,Общо ваучери
appsetbillingaddress_7c166105b10b8a6a0c0f1c6540f5cd5e,Общо за опаковане на подаръци
appsetbillingaddress_f4e8b53a114e5a17d051ab84d326cae5,Общо корабоплаване
appsetbillingaddress_c6995d6cc084c192bc2e742f052a5c74,Безплатна доставка!
appsetbillingaddress_b602e0d0c6a72053d0a5be60cb2f8126,Общо Дан
appsetbillingaddress_f3547ae5e06426d87312eff7dda775aa,Обща цена
appsetbillingaddress_f633584ed6ab75aa538bdf7c9269aac1,(Срещу допълнително заплащане на
appsetbillingaddress_bf804c0fa1807646b297f7be6843138f,Изисква се минимална обща покупка на% 1s да потвърдим вашата поръчка, ток общата покупна е% 2s
appsetbillingaddress_a00acc9b49d721d1e3006715a0ce7014,Имейл адресът не е валиден
appsetbillingaddress_dcf951059ca444f87d296d3b192783e6,Клиент с този имейл не съществува
appsetbillingaddress_04f20f929ad93c8a94dbf706e05a9bd6,Не може да се получи на адреса за доставка детайли
appsetbillingaddress_700c53d8cec1b1e9cf6c247944126166,Възникна грешка при актуализирането на количката.
appsetbillingaddress_0383858ad9a560ca2ecb8066c1681807,Изборът на продукт, който не може да бъде доставена от наличната превозвач (и): това е твърде тежко. Моля, изм кошницата си за понижаване на теглото му.
appsetbillingaddress_942649e42a59a56bd717acc3fed307b8,Изборът на продукт не може да бъде доставен от наличната Носителят (ите). Моля, изм кошницата си.
appsetbillingaddress_7c013b3defbf4cec9cd69f2e99a8d84c,Изборът на продукт, който не може да бъде доставена от наличната превозвач (и): размерът му не се вписва. Моля, изм кошницата си за намаляване на размера му.
appsetbillingaddress_78c46e5c6e68799668e5b0af361e8e5d,Все още няма превозвачи, които доставят до някои адреси, които сте избрали.
appsetbillingaddress_3ce77aba56f064e8e177a01a7d88d415,Все още няма превозвачи, които доставят на един адрес, който сте избрали.
appsetbillingaddress_d049e05d0babc4c1643c4b36397be24d,Все още няма превозвачи, които доставят на адреса, който сте избрали.
appsetbillingaddress_51dfe3dfbcd0ea5974aba6663a660a2b,Не Начин на показване Задължително
appsetbillingaddress_b24ce0cd392a5b0b8dedc66c25213594,Безплатно
appsetbillingaddress_6e15f72a51837e528df003792a367360,Не Начин на показване Наличен
appsetbillingaddress_e01c4498102e120635a233f6ece469da,Не може да се получи на адрес за фактуриране подробности
appsetshippingaddress_3f324964e384daea4b317e5f179016df,Идентификационният номер на кошницата липсва
appsetshippingaddress_e61f52d02b9f52fbe1fd41ed320e29c3,Cart не е намерен
appsetshippingaddress_694e8d1f2ee056f98ee488bdc4982d73,количество
appsetshippingaddress_63d5049791d9d79d86e9a108b0a999ca,препратка
appsetshippingaddress_287234a1ff35a314b5b6bc4e5828e745,Атрибути
appsetshippingaddress_da7a26ae7679cdec15e19468cdc4c66d,информация Кошница зареден успешно
appsetshippingaddress_604279a9bb5369542695f2ad9e6185ca,Обща цена (данък. Без)
appsetshippingaddress_ada0f55ef37f4928c5cd970f378c15e8,Общо ваучери
appsetshippingaddress_7c166105b10b8a6a0c0f1c6540f5cd5e,Общо за опаковане на подаръци
appsetshippingaddress_f4e8b53a114e5a17d051ab84d326cae5,Общо корабоплаване
appsetshippingaddress_c6995d6cc084c192bc2e742f052a5c74,Безплатна доставка!
appsetshippingaddress_b602e0d0c6a72053d0a5be60cb2f8126,Общо Дан
appsetshippingaddress_f3547ae5e06426d87312eff7dda775aa,Обща цена
appsetshippingaddress_f633584ed6ab75aa538bdf7c9269aac1,(Срещу допълнително заплащане на
appsetshippingaddress_bf804c0fa1807646b297f7be6843138f,Изисква се минимална обща покупка на% 1s да потвърдим вашата поръчка, ток общата покупна е% 2s
appsetshippingaddress_a00acc9b49d721d1e3006715a0ce7014,Имейл адресът не е валиден
appsetshippingaddress_dcf951059ca444f87d296d3b192783e6,Клиент с този имейл не съществува
appsetshippingaddress_04f20f929ad93c8a94dbf706e05a9bd6,Не може да се получи на адреса за доставка детайли
appsetshippingaddress_700c53d8cec1b1e9cf6c247944126166,Възникна грешка при актуализирането на количката.
appsetshippingaddress_0383858ad9a560ca2ecb8066c1681807,Изборът на продукт, който не може да бъде доставена от наличната превозвач (и): това е твърде тежко. Моля, изм кошницата си за понижаване на теглото му.
appsetshippingaddress_942649e42a59a56bd717acc3fed307b8,Изборът на продукт не може да бъде доставен от наличната Носителят (ите). Моля, изм кошницата си.
appsetshippingaddress_7c013b3defbf4cec9cd69f2e99a8d84c,Изборът на продукт, който не може да бъде доставена от наличната превозвач (и): размерът му не се вписва. Моля, изм кошницата си за намаляване на размера му.
appsetshippingaddress_78c46e5c6e68799668e5b0af361e8e5d,Все още няма превозвачи, които доставят до някои адреси, които сте избрали.
appsetshippingaddress_3ce77aba56f064e8e177a01a7d88d415,Все още няма превозвачи, които доставят на един адрес, който сте избрали.
appsetshippingaddress_d049e05d0babc4c1643c4b36397be24d,Все още няма превозвачи, които доставят на адреса, който сте избрали.
appsetshippingaddress_51dfe3dfbcd0ea5974aba6663a660a2b,Не Начин на показване Задължително
appsetshippingaddress_b24ce0cd392a5b0b8dedc66c25213594,Безплатно
appsetshippingaddress_6e15f72a51837e528df003792a367360,Не Начин на показване Наличен
appsetshippingaddress_e01c4498102e120635a233f6ece469da,Не може да се получи на адрес за фактуриране подробности
appsetshippingmethod_3f324964e384daea4b317e5f179016df,Идентификационният номер на кошницата липсва
appsetshippingmethod_e61f52d02b9f52fbe1fd41ed320e29c3,Cart не е намерен
appsetshippingmethod_694e8d1f2ee056f98ee488bdc4982d73,количество
appsetshippingmethod_63d5049791d9d79d86e9a108b0a999ca,препратка
appsetshippingmethod_287234a1ff35a314b5b6bc4e5828e745,Атрибути
appsetshippingmethod_da7a26ae7679cdec15e19468cdc4c66d,информация Кошница зареден успешно
appsetshippingmethod_604279a9bb5369542695f2ad9e6185ca,Обща цена (данък. Без)
appsetshippingmethod_ada0f55ef37f4928c5cd970f378c15e8,Общо ваучери
appsetshippingmethod_7c166105b10b8a6a0c0f1c6540f5cd5e,Общо за опаковане на подаръци
appsetshippingmethod_f4e8b53a114e5a17d051ab84d326cae5,Общо корабоплаване
appsetshippingmethod_c6995d6cc084c192bc2e742f052a5c74,Безплатна доставка!
appsetshippingmethod_b602e0d0c6a72053d0a5be60cb2f8126,Общо Дан
appsetshippingmethod_f3547ae5e06426d87312eff7dda775aa,Обща цена
appsetshippingmethod_f633584ed6ab75aa538bdf7c9269aac1,(Срещу допълнително заплащане на
appsetshippingmethod_bf804c0fa1807646b297f7be6843138f,Изисква се минимална обща покупка на% 1s да потвърдим вашата поръчка, ток общата покупна е% 2s
appsetshippingmethod_a00acc9b49d721d1e3006715a0ce7014,Имейл адресът не е валиден
appsetshippingmethod_dcf951059ca444f87d296d3b192783e6,Клиент с този имейл не съществува
appsetshippingmethod_04f20f929ad93c8a94dbf706e05a9bd6,Не може да се получи на адреса за доставка детайли
appsetshippingmethod_700c53d8cec1b1e9cf6c247944126166,Възникна грешка при актуализирането на количката.
appsetshippingmethod_0383858ad9a560ca2ecb8066c1681807,Изборът на продукт, който не може да бъде доставена от наличната превозвач (и): това е твърде тежко. Моля, изм кошницата си за понижаване на теглото му.
appsetshippingmethod_942649e42a59a56bd717acc3fed307b8,Изборът на продукт не може да бъде доставен от наличната Носителят (ите). Моля, изм кошницата си.
appsetshippingmethod_7c013b3defbf4cec9cd69f2e99a8d84c,Изборът на продукт, който не може да бъде доставена от наличната превозвач (и): размерът му не се вписва. Моля, изм кошницата си за намаляване на размера му.
appsetshippingmethod_78c46e5c6e68799668e5b0af361e8e5d,Все още няма превозвачи, които доставят до някои адреси, които сте избрали.
appsetshippingmethod_3ce77aba56f064e8e177a01a7d88d415,Все още няма превозвачи, които доставят на един адрес, който сте избрали.
appsetshippingmethod_d049e05d0babc4c1643c4b36397be24d,Все още няма превозвачи, които доставят на адреса, който сте избрали.
appsetshippingmethod_51dfe3dfbcd0ea5974aba6663a660a2b,Не Начин на показване Задължително
appsetshippingmethod_b24ce0cd392a5b0b8dedc66c25213594,Безплатно
appsetshippingmethod_6e15f72a51837e528df003792a367360,Не Начин на показване Наличен
appsetshippingmethod_e01c4498102e120635a233f6ece469da,Не може да се получи на адрес за фактуриране подробности
appsociallogin_bc9b4a91502bd9531dc9d7b544855a7a,Социално данни не е на разположение.
appsociallogin_23449e6c6fb211fb8bf12eae126cf555,Потребителски вход успешно
appupdateaddress_5058fb0856b024c6a3c18d8e0c764157,адрес за доставка е актуализиран успешно.
appupdateaddress_432100411a1c9a89bf06133afe8b96ce,Възникна грешка при добавяне на вашата адрес.
appupdateaddress_eeabead01c6c6f25f22bf0b041df58a9,Трябва да се регистрирате поне един телефонен номер.
appupdateaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,Тази страна изисква от вас да избере държава.
appupdateaddress_3dc3fe315fc270e7425b12e157e4619d,Тази страна не е активен.
appupdateaddress_78f66140209a4979028fb80f21be5a44,Най-Zip / Postal код \ 'съм е невалиден. Той трябва да следва този формат:% S
appupdateaddress_50b668816d2acbdb62484bb5ea5d25ab,Изисква се Zip / Пощенски код.
appupdateaddress_e6c1e151f2554afad6c0d551046650e8,Най-Zip / Пощенски код е невалиден.
appupdateaddress_7c77177e0084c27161d63e7de535a1c6,идентификационен номер е неправилен или вече е била използвана.
appupdateaddress_355169a606c66a6a39b8d23609f7329e,псевдоним% S вече е била използвана. Моля, изберете друг.
appupdateaddress_a00acc9b49d721d1e3006715a0ce7014,Имейл адресът не е валиден
appupdateaddress_dcf951059ca444f87d296d3b192783e6,Клиент с този имейл не съществува
appupdatecartquantity_e61f52d02b9f52fbe1fd41ed320e29c3,Cart не е намерен
appupdatecartquantity_694e8d1f2ee056f98ee488bdc4982d73,количество
appupdatecartquantity_6665e3761028c84e1d228de3432229ed,Код
appupdatecartquantity_287234a1ff35a314b5b6bc4e5828e745,Атрибути
appupdatecartquantity_604279a9bb5369542695f2ad9e6185ca,Обща цена (данък. Без)
appupdatecartquantity_ada0f55ef37f4928c5cd970f378c15e8,Общо ваучери
appupdatecartquantity_7c166105b10b8a6a0c0f1c6540f5cd5e,Общо за опаковане на подаръци
appupdatecartquantity_f4e8b53a114e5a17d051ab84d326cae5,Общо корабоплаване
appupdatecartquantity_c6995d6cc084c192bc2e742f052a5c74,Безплатна доставка!
appupdatecartquantity_b602e0d0c6a72053d0a5be60cb2f8126,Общо Дан
appupdatecartquantity_f3547ae5e06426d87312eff7dda775aa,Обща цена
appupdatecartquantity_ec1f68c64fcaf8260cfacf58cd4d4af7,Възползвайте се от нашите ексклузивни оферти
appupdatecartquantity_83af0c74c4cd7eef63a11d3ba7e48fda,с данни за продукти липсва.
appupdatecartquantity_1f4c1c7eb53c734122abd654be5f8164,Количество трябва да бъде по-голяма от нула.
appupdatecartquantity_dfbe69c6d9568ecb0e65e7b32ed92a3a,Продуктът не е намерен
appupdatecartquantity_91e6cde963af2000218553722fc7a093,Този продукт вече не е на разположение.
appupdatecartquantity_4d2c41ad87059d5fd9ea5283cee720a5,Там не е т достатъчно продукт \ "на склад.
appupdatecartquantity_0d38c90d843c787c0be14f790998210c,Трябва да добавите% г минимално количество
appupdatecartquantity_de10fc28511b894f704c1a67fcff7b4f,Вие вече имате максималното налично количество за този продукт.
appupdatecartquantity_14d4a4be033fb0076188581e0ab67808,Каталог на актуализиран успешно
appupdatecartquantity_ce395fa164eff74838bd51a583fb3b65,Без промяна намерени в количеството.
appupdateprofile_7ffc7db3c8072a468937761b9fa9583c,Невалиден Име.
appupdateprofile_5226b39ad81c6d482af27920b0d532ae,Невалиден Фамилия.
appupdateprofile_54084a1c09c68221979d134e9613ef84,Въведената парола не е правилна.
appupdateprofile_f02a41f3e448d379e3c06d39bd3cc4de,Паролата и потвърждението не съвпадат.
appupdateprofile_626295ee4555407394df3e9998e1fc19,Невалидна парола
appupdateprofile_c1e500b0e2c09aa39a86bb1a5ea129ca,Лична информация актуализирана успешно.
appupdateprofile_4a26ddbc1e75f300f27d3ba1f36fcb63,Информацията не може да се актуализира.
appupdateprofile_c56f8985cdec11f87c16beebf6a58b62,Лична информация липсва.
appupdateprofile_b65db11517e70558e870ea4bc6dfbf0e,Клиент с този имейл не е съществува.
appupdateprofile_0e042db7a9a38d0d1c833dd4c141d77d,E-mail адрес липсва или е невалиден.
appgetaddressform_ae7bdef7fe2bbbbf02c11e92c5fceb40,Моя адрес
appgetcartdetails_362dec2f2247134cd9d3cefbcb1c9a6e,Допълнителните разходи за
appgetfilters_9e2941b3c81256fac10392aaca4ccfde,състояние
appgetfilters_c0bd7654d5b278e65f21cf4e9153fdb4,Производител
appgetfilters_3601146c4e948c32b6424d2c0a7f0118,Цена
appgetorderdetails_694e8d1f2ee056f98ee488bdc4982d73,количество
appgetorderdetails_6665e3761028c84e1d228de3432229ed,Код
appgetorderdetails_9dffbf69ffba8bc38bc4e01abf4b1675,Текст
appgetorderdetails_b0f79042ac83c64f3ccc42268c8ade26,Общо продукти
appgetorderdetails_ada0f55ef37f4928c5cd970f378c15e8,Общо ваучери
appgetorderdetails_7c166105b10b8a6a0c0f1c6540f5cd5e,Общо за опаковане на подаръци
appgetorderdetails_f4e8b53a114e5a17d051ab84d326cae5,Общо корабоплаване
appgetorderdetails_f3547ae5e06426d87312eff7dda775aa,Обща цена
appgetsellerproducts_26380f3c8aeeb67ff17d9f961e09e045,идентификатор Продавач липсва
appgetsellerproducts_a5d37da2d02dcb1893938c19016a3834,Продавачът не е намерен
appgetsellerproducts_b1c94ca2fbc3e78fc30069c8d0f01680,всичко
appgetsellerproducts_49ee3087348e8d44e1feda1917443987,име
appgetsellerproducts_3601146c4e948c32b6424d2c0a7f0118,Цена
appgetsellerproducts_0c43922c2fd0b2886820ce8d59d0a425,A-Z
appgetsellerproducts_b45a57134da0f07ba49d5b99713855fa,Z-A
appgetsellerproducts_6b26ffddeab191d3a45e641f47ff780c,От ниска към висока
appgetsellerproducts_4bc0df4deaccf71b305d791e1e3b6f76,От висока към ниска
appgetsellerreviews_26380f3c8aeeb67ff17d9f961e09e045,идентификатор Продавач липсва
appgetsellerreviews_a5d37da2d02dcb1893938c19016a3834,Продавачът не е намерен
appgetsellers_4c555a8b12ac7069095ae1dd3bf43c7e,Не е споменато
appsavesellerreview_26380f3c8aeeb67ff17d9f961e09e045,идентификатор Продавач липсва
appsavesellerreview_a5d37da2d02dcb1893938c19016a3834,Продавачът не е намерен
appsavesellerreview_b494ce60923c04e8e4c91b0d47177d95,изисква се регистрация
appsavesellerreview_ffb5972c963f37cdc76e79c8ab636e74,Не е в състояние да представи своя преглед. Титла или коментар липсва.
appsavesellerreview_ed24e2b88b32983fb74e58cbc7e02038,Не може да се спаси прегледа като опцията е деактивирано от администратор
appsavesellerreview_dfcf16c470a033996c2d1b56340dc2d7,Вашето мнение е изпратен успешно и от други лица, след получаване на одобрение от магазин.
appsavesellerreview_63ef1b9280784b89d4476f66396fc5dd,Вашето мнение е изпратен успешно.
appsavesellerreview_b4d8c9132ae2d46618be30173e75b6ef,Точно сега, системата не е в състояние да представи своя преглед. Моля, опитайте отново по-късно
contact-form_bbaff12800505b22a853e8b7f4eb6a22,контакт
contact-form_2273d1167a6212812d95dc8fadbae78e,Обслужване на клиенти
contact-form_d754a9e8cb640da12849a040f3ca8176,Твоят отговор
contact-form_02d4482d332e1aef3437cd61c9bcc624,Свържете се с нас
contact-form_4ec1c39345fe8820d68463eea8803b0f,Вашето съобщение е изпратено успешно на нашия екип.
contact-form_7c9d4636fc5ed97bb78bc2aac486beab,Съобщението ви вече е било изпратено.
contact-form_b3e4d8d61f99bac80e6aa1774d73445b,изпрати съобщение
contact-form_6c27c08f40e1b0d9901deb9ff5f722f7,заглавие на темата
contact-form_7bc873cba11f035df692c3549366c722,-- Избирам --
contact-form_b357b524e740bc85b9790a0712d84a30,Имейл адрес
contact-form_5d4710f9a8250b13164a82c94d5b00d1,препратка Поръчка
contact-form_deb10517653c255364175796ace3553f,продукт
contact-form_13d6078da2e6592822ede083931d6826,Прикачите файл
contact-form_4c2a8fe7eaf24721cc7a9f0175115bd4,съобщение
contact-form_94966d90747b97d1f0f206c98a8b1ac3,изпращам
contact-form_f787618e514c038851726224d7e4421e,Не е избран файл
contact-form_e635032a5f71d809146d3872389f5b0c,Изберете файл
order-opc_a40cab5994f36d4c48103a22ca082e8f,Вашата пазарска количка
order-opc_78fa1019f9a9759b45c76e186393756f,Вашият нов ред не бе приета.
order-opc_879f6b8877752685a966564d072f498f,Вашата кошница е празна.
order-opc_1f87346a16cf80c372065de3c54c86d9,(С ДДС).
order-opc_21034ae6d01a83e702839a72ba8a77b0,(Данък. Без)
order-opc_ea295188b69aa5e04810abcc38b2b2be,е избран
order-opc_9504d494016e17a6de7e7b51da637bc4,Не носител е избран
order-opc_238a062a6a2543fd85d6616a8506fbe8,Не носител е необходимо за тази цел
order-opc_2e75f367f058646a1ba2fd01ceb74423,Не е нужно да приемете Условията за ползване за тази поръчка.
order-opc_d236af51d8eac54fe7c366af1f6b358c,Условията на услуги са приети
order-opc_25d8efaba32cb44a922a727f20eaa002,Условията на услуги, които не са били приети
order-opc_4ce81305b7edb043d0a7a5c75cab17d0,Има
order-opc_fe816ec4b30c11a39edfd8b0a4cfab49,Грешка (и)
order-opc_af0f5bdc5be121b9307687aeeae38c17,Адрес за доставка
order-opc_601d8c4b9f72fc1862013c19b677a499,Адрес на фактура
order-opc_449374f661344e843453c4e189ddeed8,Промяна на адрес
order-opc_d87f73e8ff8d933ed2ba5ddf25040827,Instant касата
order-opc_ad52144224a9fb9e04b8b9ef22ce36f7,Моля, започнете, като изберете един адрес.
order-opc_b24ce0cd392a5b0b8dedc66c25213594,Безплатно
order-opc_da9d6ec2998a07c31ec9eb93c9f254ed,Вашият адрес за фактуриране
order-opc_8a8c9edb5531fa2f822295d1830d090f,Вашият адрес за доставка
order-opc_06933067aafd48425d67bcb01bba5cb6,Актуализация
app_text_category_products,категория
app_text_demo_app_user_form,Моля попълнете детайлите!
app_text_full_name_demo_app_user,Твоето име*
app_text_email_demo_app_user,Електронна поща*
app_text_store_url_demo_app_user,Вашия магазин Url *
app_text_continue_demo_app_user_form,продължи
app_text_invalid_url,Невалиден съхранява URL!
app_text_invalid_email,Грешен имейл!
app_text_search,Търсене
app_text_shopping_bag,Пазарска чанта
app_text_check_out,Разгледайте
app_text_no_internet,Интернет Проблем
app_text_product_image_viewer,Каталог Image Viewer
app_text_payment_methods,начини за плащане
app_text_wishlist,списък с желания
app_text_seller_comments,Продавачът Коментар (и)
app_text_home,У дома
app_text_category,Категории
app_text_login,Влизам
app_text_logout,Излез от профила си
app_text_login_signup,Вход / Регистрирай се
app_text_account,Моята сметка
app_text_contact,Свържете се с нас
app_text_about,За нас
app_text_add_to_wishlist,Добави към списък с желания
app_text_add_to_cart,Добави в кошницата
app_text_off,от
app_text_all,всичко
app_text_languages,Език (ци)
app_text_sort,Вид
app_text_filter,филтър
app_text_sort_order,Изберете реда на сортиране
app_text_price_asce,Цена: от ниска към висока
app_text_price_desc,Цена: от висока към ниска
app_text_product,продукт
app_text_select,Изберете
app_text_instock,В наличност
app_text_outstock,Няма в наличност
app_text_product_info,Информация за продукта и хигиена
app_text_customization,персонализиране на продукта
app_text_accessories,аксесоари
app_text_view_less,Преглед на по-малко
app_text_view_more,Виж повече
app_text_provide_details,Моля, посочете подробности
app_text_bag,Пазарска чанта
app_text_apply_voucher,Прилагане на талона
app_text_entry_voucher_code,Въведете кода на ваучера
app_text_apply,Приложи
app_text_gift,Опаковъчна хартия
app_text_entry_message,Въведете съобщението си
app_text_available_first,Изпрати налични продукти първия
app_text_continue_shopping,Продължи пазаруването
app_text_continue_checkout,Продължи с поръчката
app_text_update_quantity,новия брой
app_text_enter_quantity,Въведете количество
app_text_empty_cart,Ви за доставка Кошницата е празна!
app_text_goto_home,Отидете в началната страница
app_text_review_your_order,Прегледайте поръчката
app_text_add_new_shipping_address,Добавяне на нов адрес
app_text_history,Подробности за доставката
app_text_summary,Обобщена информация за поръчката
app_text_shipping_methods,доставка Методи
app_text_comment,Поръчка коментар
app_text_payment_summary,Заплащане Резюме
app_text_proceed,Продължете да Заплащане
app_text_make_payment,Извършвам плащане
app_text_congratulations,Честито
app_text_addresses,Адрес (и)
app_text_order_detail,Подробности за поръчката
app_text_update_personal,Обновяване на лични Детайли
app_text_update_password,Актуализация на парола
app_text_current_password,Настояща парола
app_text_new_password,нова парола
app_text_confirm_password,потвърди парола
app_text_cancel,Отказ
app_text_save,Запази
app_text_order_ref,Поръчка Референтен
app_text_status,Статус
app_text_placed,Сложен на
app_text_reorder,Пренареждане
app_text_order_details,подробности за поръчката
app_text_status_history,История Статус
app_text_shipping_address,Адрес за доставка
app_text_order_summary,Обобщена информация за поръчката
app_text_shipping_method,Начин на доставка
app_text_payment_method,Начин на плащане
app_text_gift_wrapping,Опаковане на подаръци
app_text_no_shipping_address,Не адрес за доставка на разположение!
app_text_no_order_details,Няма подробности за поръчка на разположение!
app_text_signup,Регистрирай се
app_text_continue_guest,Продължи като гост
app_text_email,електронна поща
app_text_password,парола
app_text_forgot_password,Забравена парола
app_text_login_social_account,Можете да влезете с социален профил.
app_text_login_with_google,Влез с Google+
app_text_login_with_facebook,Влез с Facebook
app_text_signup_with_google,За регистрация с Google+
app_text_signup_with_facebook,За регистрация с Facebook
app_text_msg_enter_valid_email,Моля, въведете валиден имейл!
app_text_msg_enter_email,Моля, въведете имейл!
app_text_msg_enter_password,Моля, въведете паролата!
app_text_msg_password_characters_less_than_3,Моля, въведете паролата като герои повече от или равно на 3!
app_text_msg_first_name,Първо име
app_text_msg_last_name,Фамилия
app_text_msg_dob,Дата на раждане
app_text_msg_confirm_password,потвърди парола
app_text_msg_personal_details,Лични данни
app_text_msg_pass_not_matched,Парола и Потвърждение на паролата не съвпадат!
app_text_sold_by,Продаден от:
app_text_write_review,Напиши отзив
app_text_view_review,Преглед Преглед (а)
app_text_view_seller_products,Вижте Продавач продукт (а)
app_text_wait,Моля Изчакай
app_text_loading,Данните се зареждат ...
app_text_msg_went_wrong,Нещо се обърка. Моля, опитайте отново.
app_text_msg_no_internet_found,Няма връзка с интернет намерен.
app_text_msg_no_internet_title,No Интернет
app_text_msg_request,Заявката не може да бъде процес. Това може да се дължи на бавния интернет връзка.
app_text_msg_order_placed_email,Вашата поръчка е направена successfully.You ще получите имейл за едни и същи.
app_text_msg_product_look,Можете да потърсите продукт (и) от тяхната категория.
app_text_msg_search_product,Можете да търсите всеки продукт в магазина с текстови или гласови!
app_text_msg_view_cart,Можете да видите кошницата с количество!
app_text_msg_logout,Вие излезете успешно!
app_text_msg_view_product,Можете да видите продукта в режим на мрежа списък или!
app_text_msg_sort_product,Можете да сортирате продукт от цената им!
app_text_msg_filter_product,Можете да филтрирате продукт (и) според вашите нужди!
app_text_text_next,Следващия
app_text_text_okay,добре
app_text_required,длъжен
app_text_msg_rating,Моля, изберете рейтинг
app_text_msg_add_cart,Можете да добавите в кошницата, като кликнете върху бутона \ 'Добави в кошницата \'!
app_text_msg_add_wishlist,Можете да добавите продукт в списъка с желания, като кликнете върху бутона \ 'Добави в списък с желания \'!
app_text_msg_product_price,Цена на продукта е актуализиран!
app_text_msg_product_not_available,Този продукт не е наличен за поръчка!
app_text_msg_combination,Тази комбинация не съществува за този продукт. Моля, изберете друга комбинация.
app_text_msg_product_no_stock,Този продукт не е наличен в желаното количество, или не в наличност!
app_text_msg_out_stock,Някои от продуктите в кошницата, не са на разположение в желаното количество, или не на склад. Моля, премахнете това продукт (и) от количка!
app_text_msg_checkout_products,Можете да касата продукти в количката, като кликнете върху бутона "Напред с поръчката".
app_text_msg_apply_voucher,Можете да кандидатствате ваучер за пазарска количка!
app_text_msg_update_quantity,Можете да актуализирате количество от продукта, или да го премахнете от кошницата!
app_text_msg_view_details,Можете да видите подробности за продукта, като кликнете върху изображението на продукта!
app_text_msg_success,Успех!
app_text_msg_failure,Неспазването!
app_text_msg_enter_quantity,Моля, въведете количество
app_text_quantity,количество
app_text_remove,Премахване
app_text_customization_details,персонализиране Детайли
app_text_msg_add_address,Можете да добавите нов адрес за доставка, като кликнете върху бутона!
app_text_msg_update_address,Можете да актуализирате адрес за доставка!
app_text_msg_select_address,Можете да изберете някоя адрес за доставка, като кликнете върху него!
app_text_select_address_text,* Моля, изберете адрес за доставка, за да прегледате поръчката.
app_text_msg_no_product,Няма продукти на разположение!
app_text_msg_no_comment_available,Без коментар (и) на разположение!
app_text_msg_reset_password,Можете да смените паролата си, като кликнете `Забравете Password`
app_text_msg_login,Можете да влезете в магазина от тук!
app_text_msg_login_fb,Можете също така да влезете в магазина от вашия Facebook профил!
app_text_msg_login_google,Можете също така да влезете в магазина от профила си в Google!
app_text_msg_update_profile,Можете да актуализирате детайли от профила, данните за доставка или да видите данните за поръчката си от тук!
app_text_product_info_and_care,Информация за продукта и хигиена
app_text_download,Изтегли
app_text_minimal_quantity,Минимално количество
app_text_seller_details,информация за продавача
app_text_pack_content,пакет съдържание
app_text_submit,Изпращане
app_text_msg_forget_password,Въведете адреса на електронната поща, свързани с профила ви. Кликнете представя да има парола по електронна поща за вас.
app_text_enter_your_email,Въведете вашия имейл
app_text_reset_password,Възстановяване на паролата
app_text_view_selected_filter,Можете да видите избрания от вас резултат филтър, като кликнете върху тази снимка!
app_text_clear_selected_filter,Можете да изчистите прилага филтъра, като кликнете върху тази снимка!
app_text_no_filter,Не филтри
app_text_phone_number_required,* Трябва да се регистрирате поне един телефонен номер
app_text_refresh,Обновяване
app_text_internet_connection_failed,Неуспешно свързване с интернет!
app_text_internet_connection_problem,Възможно е да има някакъв проблем с интернет връзката ви. Моля те, провери.
app_text_cancel_transaction,Отмени сделка
app_text_middle_of_payment,Вие сте в средата на процеса на транзакцията ви плащане. Наистина ли искате откажете от сделката?
app_text_yes,да
app_text_no,Не
app_text_enter_your_comment,Въведете вашия коментар
app_text_msg_shipping_methods_unavailable,За някои продукт (и), начините за доставка не са налични. Моля, премахнете това продукт (и) от количката и опитайте отново.
app_text_msg_select_shipping_methods,Моля, изберете начин на доставка
youtube_api_key,AIzaSyA1UXXtMmvYcsJpcUMCXRENdi_gDYXPpe0
server_not_found,Сървърът не е намерен
authorization_error,Разрешение за грешка
check_internet_connection,Network Connection Error.Please проверете интернет връзката си
parse_error,Грешка при анализа на API
app_text_share_log,Сподели Вход
app_text_payment_failed_contact_support,Вашата поръчка не може да бъде обработена. Моля да се свържете с поддръжката на всички въпроси
app_text_choose_payment_method,Изберете начин на плащане
app_text_no_payment_method,Не Начин на плащане (а)!
app_text_no_payment_currently,Не са начин за плащане в момента.
app_text_no_make_payment,Ти спечели т \ "да бъде в състояние да извърши плащане, тъй като това мобилен App е настройка за примерни.
app_text_make_payment_after_select,Можете да направите плащане, след като изберете всеки метод на плащане!
app_text_title_paypal_payment,PayPal Плащане
app_text_order_total_price,Поръчка Обща цена
app_text_user_cancelled_the_payment,Прекратено от потребителя плащане
