apicall_954834405d762e3b854af89d3841eb2a,طلب غير متوفر
appreorder_ada0f55ef37f4928c5cd970f378c15e8,مجموع قسائم
appreorder_7c166105b10b8a6a0c0f1c6540f5cd5e,إجمالي هدية التفاف
appreorder_f4e8b53a114e5a17d051ab84d326cae5,إجمالي الشحن
appreorder_c6995d6cc084c192bc2e742f052a5c74,الشحن مجانا!
appreorder_b602e0d0c6a72053d0a5be60cb2f8126,مجموع الضريبة
appreorder_f3547ae5e06426d87312eff7dda775aa,السعر الكلي
appreorder_824a96e60e7720c695e8c6f7abd856f4,مطلوب الحد الأدنى ما مجموعه شراء٪ 1S إلى التحقق من صحة طلبك، المجموع الحالي هو٪ 2S
appreorder_ec1f68c64fcaf8260cfacf58cd4d4af7,الاستفادة من العروض الحصرية لدينا
appsavegiftmessage_e61f52d02b9f52fbe1fd41ed320e29c3,العربة لم يتم العثور
appsavegiftmessage_15bddec15f9c9237c333ed66cf65baf6,حدث خطأ أثناء إزالة قسيمة
appsavegiftmessage_4af3f045da697ee7929661dd4dde0242,رسالة هدية حفظ
appsavegiftmessage_694e8d1f2ee056f98ee488bdc4982d73,كمية
appsavegiftmessage_6665e3761028c84e1d228de3432229ed,SKU
appsavegiftmessage_287234a1ff35a314b5b6bc4e5828e745,سمات
appsavegiftmessage_604279a9bb5369542695f2ad9e6185ca,الأسعار الإجمالي (باستثناء الضرائب).
appsavegiftmessage_ada0f55ef37f4928c5cd970f378c15e8,مجموع قسائم
appsavegiftmessage_7c166105b10b8a6a0c0f1c6540f5cd5e,إجمالي هدية التفاف
appsavegiftmessage_f4e8b53a114e5a17d051ab84d326cae5,إجمالي الشحن
appsavegiftmessage_c6995d6cc084c192bc2e742f052a5c74,الشحن مجانا!
appsavegiftmessage_b602e0d0c6a72053d0a5be60cb2f8126,مجموع الضريبة
appsavegiftmessage_f3547ae5e06426d87312eff7dda775aa,السعر الكلي
appsavegiftmessage_824a96e60e7720c695e8c6f7abd856f4,مطلوب الحد الأدنى ما مجموعه شراء٪ 1S إلى التحقق من صحة طلبك، المجموع الحالي هو٪ 2S
appsavegiftmessage_ec1f68c64fcaf8260cfacf58cd4d4af7,الاستفادة من العروض الحصرية لدينا
appsetbillingaddress_3f324964e384daea4b317e5f179016df,معرف سلة مفقود
appsetbillingaddress_e61f52d02b9f52fbe1fd41ed320e29c3,العربة لم يتم العثور
appsetbillingaddress_694e8d1f2ee056f98ee488bdc4982d73,كمية
appsetbillingaddress_63d5049791d9d79d86e9a108b0a999ca,مرجع
appsetbillingaddress_287234a1ff35a314b5b6bc4e5828e745,سمات
appsetbillingaddress_da7a26ae7679cdec15e19468cdc4c66d,معلومات العربة المحملة بنجاح
appsetbillingaddress_604279a9bb5369542695f2ad9e6185ca,الأسعار الإجمالي (باستثناء الضرائب).
appsetbillingaddress_ada0f55ef37f4928c5cd970f378c15e8,مجموع قسائم
appsetbillingaddress_7c166105b10b8a6a0c0f1c6540f5cd5e,إجمالي هدية التفاف
appsetbillingaddress_f4e8b53a114e5a17d051ab84d326cae5,إجمالي الشحن
appsetbillingaddress_c6995d6cc084c192bc2e742f052a5c74,الشحن مجانا!
appsetbillingaddress_b602e0d0c6a72053d0a5be60cb2f8126,مجموع الضريبة
appsetbillingaddress_f3547ae5e06426d87312eff7dda775aa,السعر الكلي
appsetbillingaddress_f633584ed6ab75aa538bdf7c9269aac1,(تكلفه اضافيه ل
appsetbillingaddress_bf804c0fa1807646b297f7be6843138f,مطلوب الحد الأدنى ما مجموعه شراء٪ 1S إلى التحقق من صحة طلبك، مجموعه شراء الحالي هو 2S٪
appsetbillingaddress_a00acc9b49d721d1e3006715a0ce7014,عنوان البريد الإلكتروني غير صالح
appsetbillingaddress_dcf951059ca444f87d296d3b192783e6,العملاء مع هذه الرسالة غير موجودة
appsetbillingaddress_04f20f929ad93c8a94dbf706e05a9bd6,غير قادر على الحصول على تفاصيل عنوان الشحن
appsetbillingaddress_700c53d8cec1b1e9cf6c247944126166,حدث خطأ أثناء تحديث عربة التسوق.
appsetbillingaddress_0383858ad9a560ca2ecb8066c1681807,لا يمكن أن يتم تسليم اختيار المنتج من قبل الناقل المتاحة (ق): أنها ثقيلة جدا. يرجى تعديل عربة التسوق لخفض وزنه.
appsetbillingaddress_942649e42a59a56bd717acc3fed307b8,لا يمكن أن يتم تسليم اختيار المنتج من قبل الناقل المتاحة (ق). يرجى تعديل عربة التسوق.
appsetbillingaddress_7c013b3defbf4cec9cd69f2e99a8d84c,لا يمكن أن يتم تسليم اختيار المنتج من قبل الناقل المتاحة (ق): لا يصلح حجمها. يرجى تعديل عربة التسوق لتقليل حجمها.
appsetbillingaddress_78c46e5c6e68799668e5b0af361e8e5d,لا توجد شركات التي تقدم لبعض العناوين التي حددتها.
appsetbillingaddress_3ce77aba56f064e8e177a01a7d88d415,لا توجد شركات التي تقدم إلى عنوان واحد الذي حددته.
appsetbillingaddress_d049e05d0babc4c1643c4b36397be24d,لا توجد شركات التي تقدم إلى العنوان الذي حددته.
appsetbillingaddress_51dfe3dfbcd0ea5974aba6663a660a2b,لا أسلوب التسليم المطلوبة
appsetbillingaddress_b24ce0cd392a5b0b8dedc66c25213594,حر
appsetbillingaddress_6e15f72a51837e528df003792a367360,لا أسلوب التسليم المتاحة
appsetbillingaddress_e01c4498102e120635a233f6ece469da,غير قادر على الحصول على تفاصيل عنوان الفواتير
appsetshippingaddress_3f324964e384daea4b317e5f179016df,معرف سلة مفقود
appsetshippingaddress_e61f52d02b9f52fbe1fd41ed320e29c3,العربة لم يتم العثور
appsetshippingaddress_694e8d1f2ee056f98ee488bdc4982d73,كمية
appsetshippingaddress_63d5049791d9d79d86e9a108b0a999ca,مرجع
appsetshippingaddress_287234a1ff35a314b5b6bc4e5828e745,سمات
appsetshippingaddress_da7a26ae7679cdec15e19468cdc4c66d,معلومات العربة المحملة بنجاح
appsetshippingaddress_604279a9bb5369542695f2ad9e6185ca,الأسعار الإجمالي (باستثناء الضرائب).
appsetshippingaddress_ada0f55ef37f4928c5cd970f378c15e8,مجموع قسائم
appsetshippingaddress_7c166105b10b8a6a0c0f1c6540f5cd5e,إجمالي هدية التفاف
appsetshippingaddress_f4e8b53a114e5a17d051ab84d326cae5,إجمالي الشحن
appsetshippingaddress_c6995d6cc084c192bc2e742f052a5c74,الشحن مجانا!
appsetshippingaddress_b602e0d0c6a72053d0a5be60cb2f8126,مجموع الضريبة
appsetshippingaddress_f3547ae5e06426d87312eff7dda775aa,السعر الكلي
appsetshippingaddress_f633584ed6ab75aa538bdf7c9269aac1,(تكلفه اضافيه ل
appsetshippingaddress_bf804c0fa1807646b297f7be6843138f,مطلوب الحد الأدنى ما مجموعه شراء٪ 1S إلى التحقق من صحة طلبك، مجموعه شراء الحالي هو 2S٪
appsetshippingaddress_a00acc9b49d721d1e3006715a0ce7014,عنوان البريد الإلكتروني غير صالح
appsetshippingaddress_dcf951059ca444f87d296d3b192783e6,العملاء مع هذه الرسالة غير موجودة
appsetshippingaddress_04f20f929ad93c8a94dbf706e05a9bd6,غير قادر على الحصول على تفاصيل عنوان الشحن
appsetshippingaddress_700c53d8cec1b1e9cf6c247944126166,حدث خطأ أثناء تحديث عربة التسوق.
appsetshippingaddress_0383858ad9a560ca2ecb8066c1681807,لا يمكن أن يتم تسليم اختيار المنتج من قبل الناقل المتاحة (ق): أنها ثقيلة جدا. يرجى تعديل عربة التسوق لخفض وزنه.
appsetshippingaddress_942649e42a59a56bd717acc3fed307b8,لا يمكن أن يتم تسليم اختيار المنتج من قبل الناقل المتاحة (ق). يرجى تعديل عربة التسوق.
appsetshippingaddress_7c013b3defbf4cec9cd69f2e99a8d84c,لا يمكن أن يتم تسليم اختيار المنتج من قبل الناقل المتاحة (ق): لا يصلح حجمها. يرجى تعديل عربة التسوق لتقليل حجمها.
appsetshippingaddress_78c46e5c6e68799668e5b0af361e8e5d,لا توجد شركات التي تقدم لبعض العناوين التي حددتها.
appsetshippingaddress_3ce77aba56f064e8e177a01a7d88d415,لا توجد شركات التي تقدم إلى عنوان واحد الذي حددته.
appsetshippingaddress_d049e05d0babc4c1643c4b36397be24d,لا توجد شركات التي تقدم إلى العنوان الذي حددته.
appsetshippingaddress_51dfe3dfbcd0ea5974aba6663a660a2b,لا أسلوب التسليم المطلوبة
appsetshippingaddress_b24ce0cd392a5b0b8dedc66c25213594,حر
appsetshippingaddress_6e15f72a51837e528df003792a367360,لا أسلوب التسليم المتاحة
appsetshippingaddress_e01c4498102e120635a233f6ece469da,غير قادر على الحصول على تفاصيل عنوان الفواتير
appsetshippingmethod_3f324964e384daea4b317e5f179016df,معرف سلة مفقود
appsetshippingmethod_e61f52d02b9f52fbe1fd41ed320e29c3,العربة لم يتم العثور
appsetshippingmethod_694e8d1f2ee056f98ee488bdc4982d73,كمية
appsetshippingmethod_63d5049791d9d79d86e9a108b0a999ca,مرجع
appsetshippingmethod_287234a1ff35a314b5b6bc4e5828e745,سمات
appsetshippingmethod_da7a26ae7679cdec15e19468cdc4c66d,معلومات العربة المحملة بنجاح
appsetshippingmethod_604279a9bb5369542695f2ad9e6185ca,الأسعار الإجمالي (باستثناء الضرائب).
appsetshippingmethod_ada0f55ef37f4928c5cd970f378c15e8,مجموع قسائم
appsetshippingmethod_7c166105b10b8a6a0c0f1c6540f5cd5e,إجمالي هدية التفاف
appsetshippingmethod_f4e8b53a114e5a17d051ab84d326cae5,إجمالي الشحن
appsetshippingmethod_c6995d6cc084c192bc2e742f052a5c74,الشحن مجانا!
appsetshippingmethod_b602e0d0c6a72053d0a5be60cb2f8126,مجموع الضريبة
appsetshippingmethod_f3547ae5e06426d87312eff7dda775aa,السعر الكلي
appsetshippingmethod_f633584ed6ab75aa538bdf7c9269aac1,(تكلفه اضافيه ل
appsetshippingmethod_bf804c0fa1807646b297f7be6843138f,مطلوب الحد الأدنى ما مجموعه شراء٪ 1S إلى التحقق من صحة طلبك، مجموعه شراء الحالي هو 2S٪
appsetshippingmethod_a00acc9b49d721d1e3006715a0ce7014,عنوان البريد الإلكتروني غير صالح
appsetshippingmethod_dcf951059ca444f87d296d3b192783e6,العملاء مع هذه الرسالة غير موجودة
appsetshippingmethod_04f20f929ad93c8a94dbf706e05a9bd6,غير قادر على الحصول على تفاصيل عنوان الشحن
appsetshippingmethod_700c53d8cec1b1e9cf6c247944126166,حدث خطأ أثناء تحديث عربة التسوق.
appsetshippingmethod_0383858ad9a560ca2ecb8066c1681807,لا يمكن أن يتم تسليم اختيار المنتج من قبل الناقل المتاحة (ق): أنها ثقيلة جدا. يرجى تعديل عربة التسوق لخفض وزنه.
appsetshippingmethod_942649e42a59a56bd717acc3fed307b8,لا يمكن أن يتم تسليم اختيار المنتج من قبل الناقل المتاحة (ق). يرجى تعديل عربة التسوق.
appsetshippingmethod_7c013b3defbf4cec9cd69f2e99a8d84c,لا يمكن أن يتم تسليم اختيار المنتج من قبل الناقل المتاحة (ق): لا يصلح حجمها. يرجى تعديل عربة التسوق لتقليل حجمها.
appsetshippingmethod_78c46e5c6e68799668e5b0af361e8e5d,لا توجد شركات التي تقدم لبعض العناوين التي حددتها.
appsetshippingmethod_3ce77aba56f064e8e177a01a7d88d415,لا توجد شركات التي تقدم إلى عنوان واحد الذي حددته.
appsetshippingmethod_d049e05d0babc4c1643c4b36397be24d,لا توجد شركات التي تقدم إلى العنوان الذي حددته.
appsetshippingmethod_51dfe3dfbcd0ea5974aba6663a660a2b,لا أسلوب التسليم المطلوبة
appsetshippingmethod_b24ce0cd392a5b0b8dedc66c25213594,حر
appsetshippingmethod_6e15f72a51837e528df003792a367360,لا أسلوب التسليم المتاحة
appsetshippingmethod_e01c4498102e120635a233f6ece469da,غير قادر على الحصول على تفاصيل عنوان الفواتير
appsociallogin_bc9b4a91502bd9531dc9d7b544855a7a,البيانات الاجتماعي غير متوفر.
appsociallogin_23449e6c6fb211fb8bf12eae126cf555,تسجيل دخول المستخدم بنجاح
appupdateaddress_5058fb0856b024c6a3c18d8e0c764157,تم تحديث عنوان الشحن بنجاح.
appupdateaddress_432100411a1c9a89bf06133afe8b96ce,حدث خطأ ما اثناء اضافة عنوانك.
appupdateaddress_eeabead01c6c6f25f22bf0b041df58a9,يجب عليك تسجيل رقم هاتف واحد على الأقل.
appupdateaddress_66ed24fd1b91e55ae0ad7fdb4ed251c7,هذا البلد يتطلب منك اختار دولة.
appupdateaddress_3dc3fe315fc270e7425b12e157e4619d,هذا البلد غير نشط.
appupdateaddress_78f66140209a4979028fb80f21be5a44,الرمز البريدي / الرمز البريدي كنت \ 'لقد أدخلته غير صالح. يجب أن تتبع هذا التنسيق:٪ ق
appupdateaddress_50b668816d2acbdb62484bb5ea5d25ab,مطلوب الرمز البريدي / الرمز البريدي.
appupdateaddress_e6c1e151f2554afad6c0d551046650e8,الرمز البريدي / الرمز البريدي غير صالح.
appupdateaddress_7c77177e0084c27161d63e7de535a1c6,رقم تعريف غير صحيح أو أنه قد تم بالفعل استخدام.
appupdateaddress_355169a606c66a6a39b8d23609f7329e,وقد تم بالفعل استخدام الاسم المستعار٪ الصورة. يرجى اختيار واحد آخر.
appupdateaddress_a00acc9b49d721d1e3006715a0ce7014,عنوان البريد الإلكتروني غير صالح
appupdateaddress_dcf951059ca444f87d296d3b192783e6,العملاء مع هذه الرسالة غير موجودة
appupdatecartquantity_e61f52d02b9f52fbe1fd41ed320e29c3,العربة لم يتم العثور
appupdatecartquantity_694e8d1f2ee056f98ee488bdc4982d73,كمية
appupdatecartquantity_6665e3761028c84e1d228de3432229ed,SKU
appupdatecartquantity_287234a1ff35a314b5b6bc4e5828e745,سمات
appupdatecartquantity_604279a9bb5369542695f2ad9e6185ca,الأسعار الإجمالي (باستثناء الضرائب).
appupdatecartquantity_ada0f55ef37f4928c5cd970f378c15e8,مجموع قسائم
appupdatecartquantity_7c166105b10b8a6a0c0f1c6540f5cd5e,إجمالي هدية التفاف
appupdatecartquantity_f4e8b53a114e5a17d051ab84d326cae5,إجمالي الشحن
appupdatecartquantity_c6995d6cc084c192bc2e742f052a5c74,الشحن مجانا!
appupdatecartquantity_b602e0d0c6a72053d0a5be60cb2f8126,مجموع الضريبة
appupdatecartquantity_f3547ae5e06426d87312eff7dda775aa,السعر الكلي
appupdatecartquantity_ec1f68c64fcaf8260cfacf58cd4d4af7,الاستفادة من العروض الحصرية لدينا
appupdatecartquantity_83af0c74c4cd7eef63a11d3ba7e48fda,بيانات المنتج مفقود.
appupdatecartquantity_1f4c1c7eb53c734122abd654be5f8164,يجب أن تكون كمية أكبر من الصفر.
appupdatecartquantity_dfbe69c6d9568ecb0e65e7b32ed92a3a,الصنف غير موجود
appupdatecartquantity_91e6cde963af2000218553722fc7a093,هذا المنتج لم يعد متاحا.
appupdatecartquantity_4d2c41ad87059d5fd9ea5283cee720a5,هناك يسن ر المنتج \ 'كافية في المخزون.
appupdatecartquantity_0d38c90d843c787c0be14f790998210c,يجب إضافة٪ د أدنى كمية
appupdatecartquantity_de10fc28511b894f704c1a67fcff7b4f,لديك بالفعل الكمية القصوى المتاحة لهذا المنتج.
appupdatecartquantity_14d4a4be033fb0076188581e0ab67808,المنتج تحديثها بنجاح
appupdatecartquantity_ce395fa164eff74838bd51a583fb3b65,لم يطرأ أي تغيير العثور عليها في الكمية.
appupdateprofile_7ffc7db3c8072a468937761b9fa9583c,الاسم الأول غير صالح.
appupdateprofile_5226b39ad81c6d482af27920b0d532ae,صالح اسم العائلة.
appupdateprofile_54084a1c09c68221979d134e9613ef84,كلمة المرور التي أدخلتها غير صحيحة.
appupdateprofile_f02a41f3e448d379e3c06d39bd3cc4de,كلمة المرور والتأكيد غير متطابقة.
appupdateprofile_626295ee4555407394df3e9998e1fc19,رمز مرور خاطئ
appupdateprofile_c1e500b0e2c09aa39a86bb1a5ea129ca,معلومات شخصية تجديد بنجاح.
appupdateprofile_4a26ddbc1e75f300f27d3ba1f36fcb63,لا يمكن تحديث المعلومات.
appupdateprofile_c56f8985cdec11f87c16beebf6a58b62,المعلومات الشخصية مفقود.
appupdateprofile_b65db11517e70558e870ea4bc6dfbf0e,العملاء مع هذه الرسالة ليست موجودة.
appupdateprofile_0e042db7a9a38d0d1c833dd4c141d77d,عنوان البريد الإلكتروني مفقود أو غير صالحة.
appgetaddressform_ae7bdef7fe2bbbbf02c11e92c5fceb40,عنواني
appgetcartdetails_362dec2f2247134cd9d3cefbcb1c9a6e,تكلفه اضافيه ل
appgetfilters_9e2941b3c81256fac10392aaca4ccfde,شرط
appgetfilters_c0bd7654d5b278e65f21cf4e9153fdb4,الصانع
appgetfilters_3601146c4e948c32b6424d2c0a7f0118,السعر
appgetorderdetails_694e8d1f2ee056f98ee488bdc4982d73,كمية
appgetorderdetails_6665e3761028c84e1d228de3432229ed,SKU
appgetorderdetails_9dffbf69ffba8bc38bc4e01abf4b1675,نص
appgetorderdetails_b0f79042ac83c64f3ccc42268c8ade26,عدد المنتجات
appgetorderdetails_ada0f55ef37f4928c5cd970f378c15e8,مجموع قسائم
appgetorderdetails_7c166105b10b8a6a0c0f1c6540f5cd5e,إجمالي هدية التفاف
appgetorderdetails_f4e8b53a114e5a17d051ab84d326cae5,إجمالي الشحن
appgetorderdetails_f3547ae5e06426d87312eff7dda775aa,السعر الكلي
appgetsellerproducts_26380f3c8aeeb67ff17d9f961e09e045,البائع معرف مفقود
appgetsellerproducts_a5d37da2d02dcb1893938c19016a3834,البائع لم يتم العثور
appgetsellerproducts_b1c94ca2fbc3e78fc30069c8d0f01680,الكل
appgetsellerproducts_49ee3087348e8d44e1feda1917443987,اسم
appgetsellerproducts_3601146c4e948c32b6424d2c0a7f0118,السعر
appgetsellerproducts_0c43922c2fd0b2886820ce8d59d0a425,A-Z
appgetsellerproducts_b45a57134da0f07ba49d5b99713855fa,Z-A
appgetsellerproducts_6b26ffddeab191d3a45e641f47ff780c,من أسفل إلى أعلى
appgetsellerproducts_4bc0df4deaccf71b305d791e1e3b6f76,الاعلى الى الادنى
appgetsellerreviews_26380f3c8aeeb67ff17d9f961e09e045,البائع معرف مفقود
appgetsellerreviews_a5d37da2d02dcb1893938c19016a3834,البائع لم يتم العثور
appgetsellers_4c555a8b12ac7069095ae1dd3bf43c7e,لم يذكر
appsavesellerreview_26380f3c8aeeb67ff17d9f961e09e045,البائع معرف مفقود
appsavesellerreview_a5d37da2d02dcb1893938c19016a3834,البائع لم يتم العثور
appsavesellerreview_b494ce60923c04e8e4c91b0d47177d95,تسجيل الدخول مطلوب
appsavesellerreview_ffb5972c963f37cdc76e79c8ab636e74,غير قادرة على تقديم مراجعة. عنوان أو تعليق مفقود.
appsavesellerreview_ed24e2b88b32983fb74e58cbc7e02038,لا يمكن حفظ الاستعراض كما تم تعطيل الخيار من قبل المشرف
appsavesellerreview_dfcf16c470a033996c2d1b56340dc2d7,وقد قدمت تعليقك بنجاح وتظهر للآخرين بعد الحصول على موافقة من المخزن.
appsavesellerreview_63ef1b9280784b89d4476f66396fc5dd,وقد قدمت تعليقك بنجاح.
appsavesellerreview_b4d8c9132ae2d46618be30173e75b6ef,في الوقت الراهن، ونظام غير قادرة على تقديم مراجعة. الرجاء معاودة المحاولة في وقت لاحق
contact-form_bbaff12800505b22a853e8b7f4eb6a22,اتصل
contact-form_2273d1167a6212812d95dc8fadbae78e,خدمة العملاء
contact-form_d754a9e8cb640da12849a040f3ca8176,ردك
contact-form_02d4482d332e1aef3437cd61c9bcc624,اتصل بنا
contact-form_4ec1c39345fe8820d68463eea8803b0f,تم إرسال رسالتك بنجاح لفريقنا.
contact-form_7c9d4636fc5ed97bb78bc2aac486beab,وقد تم بالفعل إرسال رسالتك.
contact-form_b3e4d8d61f99bac80e6aa1774d73445b,ارسل رسالة
contact-form_6c27c08f40e1b0d9901deb9ff5f722f7,عنوان الموضوع
contact-form_7bc873cba11f035df692c3549366c722,-- أختر --
contact-form_b357b524e740bc85b9790a0712d84a30,عنوان بريد الكتروني
contact-form_5d4710f9a8250b13164a82c94d5b00d1,ترتيب المرجعي
contact-form_deb10517653c255364175796ace3553f,المنتج
contact-form_13d6078da2e6592822ede083931d6826,أرفق ملف
contact-form_4c2a8fe7eaf24721cc7a9f0175115bd4,رسالة
contact-form_94966d90747b97d1f0f206c98a8b1ac3,إرسال
contact-form_f787618e514c038851726224d7e4421e,لم يتم اختيار اي ملف
contact-form_e635032a5f71d809146d3872389f5b0c,اختر ملف
order-opc_a40cab5994f36d4c48103a22ca082e8f,سلة التسوق الخاصة بك
order-opc_78fa1019f9a9759b45c76e186393756f,لم يكن قبول النظام الجديد.
order-opc_879f6b8877752685a966564d072f498f,سلة التسوق الخاصة بك فارغة.
order-opc_1f87346a16cf80c372065de3c54c86d9,(شاملة الضريبة).
order-opc_21034ae6d01a83e702839a72ba8a77b0,(غير شامل الضريبة.)
order-opc_ea295188b69aa5e04810abcc38b2b2be,قد تم اختياره
order-opc_9504d494016e17a6de7e7b51da637bc4,وقد تم اختيار أي الناقل
order-opc_238a062a6a2543fd85d6616a8506fbe8,ليس هناك حاجة إلى الناقل لهذا النظام
order-opc_2e75f367f058646a1ba2fd01ceb74423,أنت لا تحتاج إلى قبول شروط الخدمة لهذا النظام.
order-opc_d236af51d8eac54fe7c366af1f6b358c,وقد تم قبول شروط الخدمة
order-opc_25d8efaba32cb44a922a727f20eaa002,لم تقبل شروط الخدمة
order-opc_4ce81305b7edb043d0a7a5c75cab17d0,يوجد
order-opc_fe816ec4b30c11a39edfd8b0a4cfab49,الخطأ (ق)
order-opc_af0f5bdc5be121b9307687aeeae38c17,عنوان التسليم
order-opc_601d8c4b9f72fc1862013c19b677a499,عنوان الفاتورة
order-opc_449374f661344e843453c4e189ddeed8,تعديل عنوان بريدي
order-opc_d87f73e8ff8d933ed2ba5ddf25040827,الخروج الفوري
order-opc_ad52144224a9fb9e04b8b9ef22ce36f7,يرجى البدء بتحديد عنوان.
order-opc_b24ce0cd392a5b0b8dedc66c25213594,حر
order-opc_da9d6ec2998a07c31ec9eb93c9f254ed,عنوان ارسال الفواتير الخاص بك
order-opc_8a8c9edb5531fa2f822295d1830d090f,عنوان التسليم
order-opc_06933067aafd48425d67bcb01bba5cb6,تحديث
app_text_category_products,الفئة
app_text_demo_app_user_form,يرجى ملء التفاصيل!
app_text_full_name_demo_app_user,اسمك*
app_text_email_demo_app_user,البريد الإلكتروني*
app_text_store_url_demo_app_user,المتجر الخاص بك رابط *
app_text_continue_demo_app_user_form,استمر
app_text_invalid_url,مخزن URL غير صالح!
app_text_invalid_email,بريد إلكتروني خاطئ!
app_text_search,بحث
app_text_shopping_bag,كيس التسوق
app_text_check_out,الدفع
app_text_no_internet,مشكلة الانترنت
app_text_product_image_viewer,عارض صورة المنتج
app_text_payment_methods,طرق الدفع
app_text_wishlist,الأماني
app_text_seller_comments,البائع تعليق (الصورة)
app_text_home,الصفحة الرئيسية
app_text_category,الاقسام
app_text_login,تسجيل الدخول
app_text_logout,الخروج
app_text_login_signup,الدخول التسجيل فى الموقع
app_text_account,حسابي
app_text_contact,اتصل بنا
app_text_about,معلومات عنا
app_text_add_to_wishlist,أضف إلى قائمة الامنيات
app_text_add_to_cart,أضف إلى السلة
app_text_off,إيقاف
app_text_all,الكل
app_text_languages,اللغات)
app_text_sort,فرز
app_text_filter,منقي
app_text_sort_order,حدد ترتيب
app_text_price_asce,السعر من الارخص للاعلى
app_text_price_desc,السعر الاعلى الى الادنى
app_text_product,المنتج
app_text_select,تحديد
app_text_instock,في المخزن
app_text_outstock,إنتهى من المخزن
app_text_product_info,معلومات المنتج والعناية
app_text_customization,التخصيص المنتج
app_text_accessories,مستلزمات
app_text_view_less,عرض أقل
app_text_view_more,عرض المزيد
app_text_provide_details,يرجى تقديم تفاصيل
app_text_bag,كيس التسوق
app_text_apply_voucher,تطبيق القسيمة
app_text_entry_voucher_code,أدخل رمز القسيمة
app_text_apply,تطبيق
app_text_gift,هدية التفاف
app_text_entry_message,أدخل رسالتك
app_text_available_first,نرسل المنتجات المتاحة أولا
app_text_continue_shopping,مواصلة التسوق
app_text_continue_checkout,الاستمرار في الخروج
app_text_update_quantity,انشاء الله هصلي واجيلك
app_text_enter_quantity,إدخال كمية
app_text_empty_cart,عربة الشحن الخاصة بك فارغة!
app_text_goto_home,الذهاب إلى الصفحة الرئيسية
app_text_review_your_order,راجع طلباتك
app_text_add_new_shipping_address,إضافة عنوان جديد
app_text_history,تفاصيل الشحن
app_text_summary,ملخص الطلب
app_text_shipping_methods,طرق الشحن
app_text_comment,أجل تعليق
app_text_payment_summary,ملخص الدفع
app_text_proceed,الشروع في دفع
app_text_make_payment,قم بالدفع
app_text_congratulations,تهانينا
app_text_addresses,عنوان (الصورة)
app_text_order_detail,تفاصيل الأمر
app_text_update_personal,تحديث تفاصيل الشخصية
app_text_update_password,تطوير كلمة السر
app_text_current_password,كلمة المرور الحالي
app_text_new_password,كلمة السر الجديدة
app_text_confirm_password,تأكيد كلمة المرور
app_text_cancel,إلغاء
app_text_save,حفظ
app_text_order_ref,ترتيب المرجعي
app_text_status,الحالة
app_text_placed,موضوع على
app_text_reorder,إعادة ترتيب
app_text_order_details,تفاصيل الطلب
app_text_status_history,سجل الحالة
app_text_shipping_address,عنوان الشحن
app_text_order_summary,ملخص الطلب
app_text_shipping_method,طريقة الشحن
app_text_payment_method,طريقة الدفع او السداد
app_text_gift_wrapping,تغليف الهدايا
app_text_no_shipping_address,أي عنوان الشحن المتاحة!
app_text_no_order_details,أي تفاصيل أمر متاح!
app_text_signup,سجل
app_text_continue_guest,تواصل كضيف
app_text_email,البريد الإلكتروني
app_text_password,كلمه السر
app_text_forgot_password,هل نسيت كلمة المرور
app_text_login_social_account,يمكنك الدخول بحساب الاجتماعي.
app_text_login_with_google,تسجيل الدخول باستخدام + Google
app_text_login_with_facebook,تسجيل الدخول باستخدام الفيسبوك
app_text_signup_with_google,الاشتراك في + Google
app_text_signup_with_facebook,اشترك عبر حساب فايسبوك
app_text_msg_enter_valid_email,الرجاء إدخال بريد إلكتروني صحيح!
app_text_msg_enter_email,يرجى إدخال البريد الإلكتروني!
app_text_msg_enter_password,الرجاء إدخال كلمة السر!
app_text_msg_password_characters_less_than_3,يرجى إدخال كلمة ذات أحرف أكثر من أو يساوي 3!
app_text_msg_first_name,الاسم الاول
app_text_msg_last_name,الكنية
app_text_msg_dob,تاريخ الولادة
app_text_msg_confirm_password,تأكيد كلمة المرور
app_text_msg_personal_details,تفاصيل شخصية
app_text_msg_pass_not_matched,كلمة المرور وتأكيد كلمة المرور لا يقابل!
app_text_sold_by,تم بيعها من قبل:
app_text_write_review,أكتب مراجعة
app_text_view_review,عرض التعليق (ق)
app_text_view_seller_products,عرض بائع المنتج (ق)
app_text_wait,ارجوك انتظر
app_text_loading,تحميل البيانات...
app_text_msg_went_wrong,هناك خطأ ما. حاول مرة اخرى.
app_text_msg_no_internet_found,العثور على أي اتصال بالإنترنت.
app_text_msg_no_internet_title,لا انترنت
app_text_msg_request,طلب لا يمكن أن يكون عملية. قد يكون هذا بسبب بطء الاتصال بالانترنت.
app_text_msg_order_placed_email,تم تقديم طلب الخاص بك وسوف successfully.You تتلقى البريد الإلكتروني فيما يتعلق نفسه.
app_text_msg_product_look,يمكنك البحث عن المنتج (ق) من فئتها.
app_text_msg_search_product,يمكنك البحث عن أي منتج في مخزن بواسطة النص أو الصوت!
app_text_msg_view_cart,يمكنك عرض عربة التسوق مع كمية!
app_text_msg_logout,وخروج بنجاح!
app_text_msg_view_product,يمكنك عرض المنتج في القائمة أو وضع الشبكة!
app_text_msg_sort_product,يمكنك فرز المنتج من قبل سعرها!
app_text_msg_filter_product,كما يمكنك تحديد المنتج (ق) وفقا للحاجة الخاصة بك!
app_text_text_next,التالى
app_text_text_okay,حسنا
